CA10_deg_atdc,CA50_deg_atdc,CA90_deg_atdc,CH3OCH3_mass_balance_residual_mg,CH4_mass_balance_residual_mg,blowby_mass_in_mg,blowby_mass_out_mg,boundary_fuel_reaction_extent_fraction_initial_total,boundary_leak_bias,boundary_mass_fraction,boundary_mass_fraction_initial,boundary_piston_area_fraction,branch,compression_ratio,core_fuel_reaction_extent_fraction_initial_total,cumulative_chemical_heat_release_mJ,end_boundary_X_CH2O,end_boundary_X_CH3OCH3,end_boundary_X_CH4,end_boundary_X_CO,end_boundary_X_CO2,end_boundary_X_O2,end_core_X_CH2O,end_core_X_CH3OCH3,end_core_X_CH4,end_core_X_CO,end_core_X_CO2,end_core_X_O2,error,final_boundary_temperature_K,final_boundary_volume_fraction,final_core_temperature_K,final_fuelConsumed_CH3OCH3_fraction,final_fuelConsumed_CH4_fraction,final_fuel_consumed_fraction,fuel_composition,fuel_profile,gross_imep_bar,gross_indicated_power_W_per_cylinder,gross_indicated_work_mJ,initial_trapped_mass_mg,intake_pressure_bar,interzone_heat_transfer_coeff_W_m2K,inventory_fuelConsumed_CH3OCH3_fraction,inventory_fuelConsumed_CH4_fraction,mass_balance_residual_mg,mass_retained_end_fraction,max_boundary_X_CH2O,max_boundary_X_CH3OCH3,max_boundary_X_CH4,max_boundary_X_CO,max_boundary_X_CO2,max_boundary_X_O2,max_core_X_CH2O,max_core_X_CH3OCH3,max_core_X_CH4,max_core_X_CO,max_core_X_CO2,max_core_X_O2,max_fuelConsumed_CH3OCH3_fraction,max_fuelConsumed_CH4_fraction,max_fuel_consumed_fraction,max_interzone_pressure_difference_bar,max_pressure_rise_bar_per_deg,max_pressure_rise_deg_atdc,max_volume_closure_error_mm3,mechanism,mixing_time_ms,model,peak_boundary_temperature_K,peak_core_temperature_K,peak_pressure_bar,peak_pressure_deg_atdc,peak_temperature_K,pressure_equalization_coeff_m_s_Pa,profile,status,step_deg,two_zone_note,wall_energy_gas_to_wall_mJ
-8.604832816789914,-5.833069467225217,14.47007559412092,-5.598640636327507e-09,9.321288677904284e-08,0.0,0.12212179730721504,0.06493372205911277,0.0,0.2,0.2,0.2,cool_partial_candidate,7.0,0.36924281779811946,330.7090961671431,0.0020704044280534344,0.0016652925465324047,0.02431508433355228,0.009677924910299505,0.0010743227951014078,0.18249224985190687,0.002075246713878292,0.001562643798386587,0.024248652363867938,0.009939955690555904,0.0011145569789639805,0.18213104755988627,,536.7214232123455,0.21333844034227395,489.64896501559014,0.7938727200860575,0.08987957369810629,0.43417839385295587,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,2.0990384095201593,0.8337697961114098,83.37697961114098,1.5974089681835355,3.0,100.0,0.7938727200860575,0.08987957369810629,7.225132982270455e-06,0.9235455510312589,0.0020704044280534344,0.009000900090009003,0.027002700270031748,0.009677924910299505,0.0010743227951014078,0.20252025202520252,0.0026387033659521207,0.009000900090009001,0.0270027002700369,0.010479742240643098,0.0011993067345057269,0.20252025202520252,0.7938727200860575,0.0898798489586162,0.43417839385295587,0.043490083228474835,6.518297182697552,-7.875,0.06411905743680255,mechanisms/dme_zhao_sk39.yaml,10.0,experimental-pressure-coupled-two-zone,844.4222013132439,921.0987555642058,60.36556563841979,0.75,921.0987555642058,7e-05,zhao_sk39,ok,0.125,"Experimental two-reactor spatial bracket. Pressure equalization, zone mass, mixing time, interface heat transfer, and leakage allocation are model inputs, not calibrated measurements. Gross work excludes gas exchange and friction.",-46.91360346072092
-9.942770537675614,5.538783210020115,18.83906395450912,-3.3523225639410095e-08,5.9320220950248447e-08,0.0,0.13143540309452503,0.06773526764022214,0.0,0.2,0.2,0.2,cool_partial_candidate,7.25,0.5220867466776268,566.1561282941063,0.0009862685342072151,0.000580029518738864,0.01908358894697579,0.016421723945298453,0.003510293208281833,0.1718592056208953,0.0009095819860909476,0.000424589932035856,0.018618389752913602,0.017132695822550087,0.0037347743258759696,0.17076479549449736,,555.2032703308588,0.19676783273936657,555.7153810769249,0.9133611590455037,0.2801319492546915,0.5898225633426013,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,4.488829634856046,1.7830310071783537,178.30310071783538,1.5882809169367724,3.0,100.0,0.9133611590455037,0.2801319492546915,6.985144084360669e-06,0.917242355028659,0.0020707156451793838,0.009000900090009003,0.02700270027003179,0.016421723945298453,0.003510293208281833,0.20252025202520252,0.002735288934881714,0.009000900090009001,0.0270027002700369,0.018558783080977966,0.004156925088736356,0.20252025202520252,0.9133611590455037,0.28013195435892485,0.5898225633426013,0.04334508360565582,7.123004374868032,-9.625,0.06427449327207976,mechanisms/dme_zhao_sk39.yaml,10.0,experimental-pressure-coupled-two-zone,852.1246340768658,1070.236127933084,63.69758575266683,2.0,1070.236127933084,7e-05,zhao_sk39,ok,0.125,"Experimental two-reactor spatial bracket. Pressure equalization, zone mass, mixing time, interface heat transfer, and leakage allocation are model inputs, not calibrated measurements. Gross work excludes gas exchange and friction.",17.54109930804029
-11.335739075606519,4.012492535646425,16.920353895279675,-5.303020661365831e-08,3.1619474884062964e-08,0.0,0.13934671664107642,0.07282242973993713,0.0,0.2,0.2,0.2,cool_partial_candidate,7.5,0.5641068048837743,638.2612214541848,0.0008741310715091679,0.00044090487315918004,0.01690252856663015,0.017815470335293557,0.004610877175798409,0.16805378133010923,0.0007983114389603857,0.0003163203898205846,0.01632844704078746,0.018500157297812677,0.004891134421613268,0.16686243393815398,,559.4963873507608,0.1929324555015159,570.9921685950334,0.9263372476253536,0.3599074618155519,0.636928776519386,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,5.158969624370509,2.049220744292933,204.9220744292933,1.5798550234782225,3.0,100.0,0.9263372476253536,0.3599074618155519,6.250307358994687e-06,0.9117938260932102,0.0021467159321652894,0.009000900090009003,0.02700270027003181,0.017815470335293557,0.004610877175798409,0.20252025202520252,0.002805526210623155,0.009000900090009001,0.027002700270036952,0.019819863500689615,0.005391582436229321,0.20252025202520252,0.9263372476253536,0.3599074618155519,0.636928776519386,0.04321082629317942,7.632695624232383,-11.125,0.06518498989249183,mechanisms/dme_zhao_sk39.yaml,10.0,experimental-pressure-coupled-two-zone,864.5920278480005,1138.9599882859645,73.37427778586539,8.75,1138.9599882859645,7e-05,zhao_sk39,ok,0.125,"Experimental two-reactor spatial bracket. Pressure equalization, zone mass, mixing time, interface heat transfer, and leakage allocation are model inputs, not calibrated measurements. Gross work excludes gas exchange and friction.",39.554127434006915
-12.514847154313783,2.469875770713235,22.240694087585336,-4.933164988579364e-08,1.8282256690526676e-08,0.0,0.14761754460100118,0.08091584913339146,0.0,0.2,0.2,0.2,cool_partial_candidate,7.75,0.629199982108224,766.1905808531117,0.0007349854123537491,0.00027144582504674884,0.013399404762061723,0.01961061321242528,0.006661185597108273,0.16155002095135826,0.0006553017153263804,0.00018463180723004237,0.012595647920515896,0.020289360553995238,0.007081975150887603,0.16004144959931554,,569.2675808767434,0.18559561946244332,606.050538399426,0.9416729444867615,0.48846843487932573,0.7101151636114109,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,6.318011517721845,2.509609710364802,250.96097103648017,1.5720532702758607,3.0,100.0,0.9416729444867615,0.48846843487932573,6.8759720674555524e-06,0.9060945176831292,0.0022173641679973924,0.00900090009000901,0.027002700270031803,0.01961061321242528,0.006661185597108273,0.20252025202520377,0.0028594876174292245,0.009000900090009001,0.02700270027003707,0.021440427110366336,0.007727836379117648,0.20252025202520252,0.9416729444867615,0.48846843487932573,0.7101151636114109,0.043086191886065064,7.946434756869536,-12.375,0.06517346534548824,mechanisms/dme_zhao_sk39.yaml,10.0,experimental-pressure-coupled-two-zone,894.2063182370413,1187.3646083028498,80.61807553368224,5.25,1187.3646083028498,7e-05,zhao_sk39,ok,0.125,"Experimental two-reactor spatial bracket. Pressure equalization, zone mass, mixing time, interface heat transfer, and leakage allocation are model inputs, not calibrated measurements. Gross work excludes gas exchange and friction.",76.92568796607631
-12.074806829333452,14.930531315107542,17.113735612465447,-3.431500234707848e-08,-1.243954399633022e-05,0.0,0.16220369481704128,0.11854801862683696,0.0,0.2,0.2,0.2,rapid_heat_release,8.0,0.8028897055912195,1598.9900765189614,0.00010067994424425242,8.136992786042826e-07,0.0024109809049454693,0.0037975326581904155,0.03763708282804048,0.12781268284906477,6.066581166369363e-05,3.6014952386293326e-07,0.0013234007260475372,0.002478893636117763,0.04029375957258895,0.12476917511565969,,638.9463205723844,0.15185931316419288,850.9565829386502,0.9637692861253881,0.8803906414232205,0.9211682670923872,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,14.083898893954492,5.594337605261134,559.4337605261134,1.5648087851593817,3.0,100.0,0.9637692861253881,0.8803906414232205,7.359173470507902e-06,0.8963380986041756,0.002286125705522931,0.009000900090009003,0.027002700270031807,0.017577514658562214,0.03763708282804048,0.20252025202520252,0.0029029121856955042,0.009000900090009001,0.027002700270037094,0.02486923114924439,0.04443585477880371,0.20252025202520252,0.9637692861253881,0.8803906414232205,0.9211682670923872,0.057745200186576695,39.305746594677885,16.875,0.06604130079109932,mechanisms/dme_zhao_sk39.yaml,10.0,experimental-pressure-coupled-two-zone,1094.4806312701742,1839.845917364524,104.11893636947589,17.25,1839.845917364524,7e-05,zhao_sk39,ok,0.125,"Experimental two-reactor spatial bracket. Pressure equalization, zone mass, mixing time, interface heat transfer, and leakage allocation are model inputs, not calibrated measurements. Gross work excludes gas exchange and friction.",308.8370041988478
-8.594658523788034,-5.696354706409397,14.816793836652373,-2.6819534739803528e-08,7.386550046922284e-08,0.0,0.12215439068400767,0.06547089722935906,0.0,0.2,0.2,0.2,cool_partial_candidate,7.0,0.3740547652313724,335.92565689765775,0.0020236527800666787,0.001590399575437665,0.024242389144017013,0.009833422973693332,0.001113118882066799,0.18225400752194768,0.0020265066133077513,0.0014855869388443607,0.024171469392404457,0.010106078667773553,0.0011559388371522382,0.18187913687548404,,537.1262953220352,0.2129403275158749,491.1114379747094,0.8021019281635041,0.09247020302283411,0.43952665799539753,"CH3OCH3:0.25, CH4:0.75",dme_zhao_full,2.152838500709902,0.8551400058505927,85.51400058505928,1.5974089681835355,3.0,100.0,0.8021019281635041,0.09247020302283411,5.990571651442263e-06,0.9235259199811733,0.0020236527800666787,0.009000900090009003,0.027002700270031786,0.009833422973693332,0.001113118882066799,0.20252025202520257,0.002612890130490096,0.009000900090009001,0.027002700270037035,0.010666701792517285,0.0012457770425725089,0.20252025202520252,0.8021019281635041,0.09247052307951535,0.43952665860811946,0.04349007618534728,6.5271885287656914,-7.875,0.07948572917341734,mechanisms/dme_zhao_full.yaml,10.0,experimental-pressure-coupled-two-zone,845.1120914750425,922.8834950946067,60.403861850057375,0.75,922.8834950946067,7e-05,zhao_full55,ok,0.125,"Experimental two-reactor spatial bracket. Pressure equalization, zone mass, mixing time, interface heat transfer, and leakage allocation are model inputs, not calibrated measurements. Gross work excludes gas exchange and friction.",-45.44929859668369
-9.936311810738706,5.547508362505754,18.526967420456764,-4.03447229731992e-08,5.269940978207316e-08,0.0,0.13150530658235163,0.06835539140906062,0.0,0.2,0.2,0.2,cool_partial_candidate,7.25,0.5236273621074152,571.6561314677149,0.0009920263397977616,0.0005656363133432039,0.019005990925435985,0.01655903825947915,0.0035582002215418184,0.17159728197741336,0.0009183838236219362,0.00041352475947426085,0.018538881731785938,0.017275271108639495,0.003784701302065918,0.17049317800818825,,555.5836080285233,0.19645881184383995,557.0702780006062,0.9147973443073811,0.2829856703681684,0.5919830164551936,"CH3OCH3:0.25, CH4:0.75",dme_zhao_full,4.545446640381963,1.805520137886816,180.5520137886816,1.5882809169367724,3.0,100.0,0.9147973443073811,0.28298567036816846,6.597147709895342e-06,0.9171985872727721,0.002046836467470513,0.009000900090009,0.027002700270031772,0.01655903825947915,0.0035582002215418184,0.20252025202520252,0.0027079103307879335,0.009000900090009001,0.02700270027003701,0.018698288071556633,0.00420797081600454,0.20252025202520252,0.9147973443073811,0.28298568833459187,0.5919830164551936,0.04334510737389617,7.122175009581497,-9.625,0.07955404400702254,mechanisms/dme_zhao_full.yaml,10.0,experimental-pressure-coupled-two-zone,852.7635545971057,1075.6227357786536,63.76482387767308,2.25,1075.6227357786536,7e-05,zhao_full55,ok,0.125,"Experimental two-reactor spatial bracket. Pressure equalization, zone mass, mixing time, interface heat transfer, and leakage allocation are model inputs, not calibrated measurements. Gross work excludes gas exchange and friction.",19.098345349289904
-11.320557935355755,4.10541965807683,17.859826460246953,-4.056197163352951e-08,4.032581025156729e-08,0.0,0.13946178227154823,0.07355741954208954,0.0,0.2,0.2,0.2,cool_partial_candidate,7.5,0.5684396245001428,651.3140922458873,0.0008778411674916946,0.0004234081329335547,0.016679948676525818,0.018111025625225298,0.004746443145541704,0.1674202349560078,0.0008040766253317979,0.0003018312133804375,0.016088687933112626,0.0188147072927911,0.0050372805095208525,0.1661853128217158,,560.598052898358,0.1921161570738298,574.9378025599539,0.9280901998751488,0.3681491338001567,0.64199703898932,"CH3OCH3:0.25, CH4:0.75",dme_zhao_full,5.286324827048668,2.0998081565523257,209.98081565523256,1.5798550234782225,3.0,100.0,0.9280901998751488,0.3681491338001567,6.780157979033714e-06,0.9117206576825814,0.002121566137542123,0.009000900090009,0.027002700270031797,0.018111025625225298,0.004746443145541704,0.20252025202520252,0.0027770764683358513,0.009000900090009001,0.027002700270037084,0.02013962394002163,0.005546317967069805,0.20252025202520252,0.9280901998751488,0.36814913720942954,0.64199703898932,0.043210837228639866,7.625113884705826,-11.125,0.08005617475780219,mechanisms/dme_zhao_full.yaml,10.0,experimental-pressure-coupled-two-zone,866.1777733463384,1141.530465504176,73.59509067794475,8.625,1141.530465504176,7e-05,zhao_full55,ok,0.125,"Experimental two-reactor spatial bracket. Pressure equalization, zone mass, mixing time, interface heat transfer, and leakage allocation are model inputs, not calibrated measurements. Gross work excludes gas exchange and friction.",43.13119509472647
-12.454854544225528,2.9473315082997855,26.69415754584267,-3.2093944009830206e-08,3.6187566333843074e-08,0.0,0.14825185268091126,0.08224542040285514,0.0,0.2,0.2,0.2,cool_partial_candidate,7.75,0.6614774420793491,841.7680736423675,0.0006813447874776486,0.00023723579691437867,0.011720075748218041,0.02056642609068324,0.00783712886218041,0.1579624180832105,0.0005988264225936493,0.0001547371549465552,0.01076069232064858,0.021314100687293676,0.008371947527301736,0.15613520788059276,,576.3699335639429,0.1810830044712305,631.3873346886509,0.9450353893806825,0.551027013613516,0.7437229505040827,"CH3OCH3:0.25, CH4:0.75",dme_zhao_full,7.02461070211652,2.790281590990328,279.0281590990328,1.5720532702758607,3.0,100.0,0.9450353893806823,0.551027013613516,8.32802462391727e-06,0.9056901038222969,0.002191149486348928,0.009000900090009,0.027002700270031835,0.02056642609068324,0.00783712886218041,0.20252025202520252,0.0028302737438835575,0.009000900090009001,0.02700270027003719,0.0224765180836003,0.00910262102533936,0.20252025202520252,0.9450353893806825,0.551027013613516,0.7437229505040827,0.043086188139584265,7.968949701707885,-12.375,0.08153957397145092,mechanisms/dme_zhao_full.yaml,10.0,experimental-pressure-coupled-two-zone,895.8019963474661,1199.7248682333868,80.71497080041348,5.25,1199.7248682333868,7e-05,zhao_full55,ok,0.125,"Experimental two-reactor spatial bracket. Pressure equalization, zone mass, mixing time, interface heat transfer, and leakage allocation are model inputs, not calibrated measurements. Gross work excludes gas exchange and friction.",97.00686431868131
-12.09377429727133,13.341493619602813,15.046256740689484,1.3952767291349525e-08,-7.766466828978365e-06,0.0,0.16266563526466352,0.12136499152573842,0.0,0.2,0.2,0.2,rapid_heat_release,8.0,0.8017137723388411,1598.7853046127661,9.923569820068343e-05,3.918109691291516e-07,0.00229902466930009,0.003800282855257923,0.037800729777625205,0.12752594347776067,6.018581523078281e-05,1.760859517569249e-07,0.001274777493852371,0.002496676595804336,0.0403557633572902,0.12464184281092783,,637.6805077994313,0.15214820125441367,846.7924815680853,0.9640251017534375,0.8835572285057177,0.9229112960299666,"CH3OCH3:0.25, CH4:0.75",dme_zhao_full,14.190714429963483,5.636766351336392,563.6766351336391,1.5648087851593817,3.0,100.0,0.9640251017534375,0.8835572285057177,6.427671673589565e-06,0.8960434882018071,0.0022600080620563652,0.009000900090009,0.027002700270031852,0.017781856626329473,0.037800729777625205,0.20252025202520252,0.002873202736950683,0.009000900090009001,0.027002700270037098,0.02547170642142661,0.04443822970887391,0.20252025202520252,0.9640251017534375,0.8835572285057177,0.9229112960299666,0.06505005560532212,46.95833299633256,14.875,0.08352849613723813,mechanisms/dme_zhao_full.yaml,10.0,experimental-pressure-coupled-two-zone,1115.7577100952215,1856.8846494236827,109.62786752897541,15.125,1856.8846494236827,7e-05,zhao_full55,ok,0.125,"Experimental two-reactor spatial bracket. Pressure equalization, zone mass, mixing time, interface heat transfer, and leakage allocation are model inputs, not calibrated measurements. Gross work excludes gas exchange and friction.",311.3936456428398
