temperature_K,pressure_bar,ignition_delay_s,equivalence_ratio,composition,source_file,ignition_target,ignition_type,simulated_delay_s,simulated_to_experiment_ratio,ignited
1273.5,13.5,0.000129,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,2.5470980766701633e-05,0.1974494633077646,True
1186.4,13.5,0.000283,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,6.453273619418115e-05,0.22803086994410302,True
1176.3,13.5,0.00029099999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,7.328392730275082e-05,0.2518348017276661,True
1132.5,13.5,0.00041999999999999996,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.00013512123046283332,0.3217172153876984,True
1131.3,13.5,0.0005239999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.0001376131062014868,0.26262043168222676,True
1101.4,13.5,0.000794,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.00022347707370703966,0.2814572716713346,True
1066.8,13.5,0.000954,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.00042292732516008356,0.4433200473376138,True
1025.7,13.5,0.001483,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.00101688367744266,0.685693646286352,True
944.66,13.5,0.0034779999999999998,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.008804035866343218,2.531350162835888,True
944.6,13.5,0.005215,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.008820127000114412,1.6912995206355537,True
940.14,13.5,0.004340999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.010112489557635971,2.329529960293935,True
934.85,13.5,0.0033539999999999998,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.011923731820758857,3.5550780622417584,True
930.19,13.5,0.003763,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.013818560640297399,3.6722191443787935,True
906.46,13.5,0.006402,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.030328399883241767,4.737332065486062,True
885.85,13.5,0.006588,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.0630911693878309,9.576680234947009,True
841.09,13.5,0.0033399999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.3689922539073267,110.47672272674454,True
830.34,13.5,0.0031539999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,0.5864856701208111,185.94980029195028,True
784.31,13.5,0.002888,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,,,False
746.81,13.5,0.0032749999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,,,False
737.8,13.5,0.003093,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,,,False
731.23,13.5,0.003022,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,,,False
699.42,13.5,0.004804,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,,,False
698.67,13.5,0.0040479999999999995,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,,,False
695.45,13.5,0.00524,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,,,False
676.9,13.5,0.011264999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,,,False
664.19,13.5,0.013068,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-4.yaml,pressure,d/dt max,,,False
999.45,19.3,0.0013109999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-5.yaml,pressure,d/dt max,0.0014305609947697744,1.0911983179021927,True
929.5,19.3,0.00258,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-5.yaml,pressure,d/dt max,0.010657739174124665,4.1309066566374675,True
882.31,19.3,0.001903,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-5.yaml,pressure,d/dt max,0.054772370117860326,28.782117770814676,True
823.2,19.3,0.0016569999999999998,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-5.yaml,pressure,d/dt max,0.6230782250071909,376.02789680578815,True
789.57,19.3,0.0014739999999999998,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-5.yaml,pressure,d/dt max,,,False
744.24,19.3,0.0017009999999999998,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-5.yaml,pressure,d/dt max,,,False
1062.2,30.0,0.00048699999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-6.yaml,pressure,d/dt max,0.00024262436123062697,0.4982019737795215,True
952.74,30.0,0.001045,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-6.yaml,pressure,d/dt max,0.0037614911748703682,3.5995130860003526,True
845.72,30.0,0.0007369999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-6.yaml,pressure,d/dt max,0.17517269364451118,237.6834377808836,True
735.76,30.0,0.0017419999999999998,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-6.yaml,pressure,d/dt max,,,False
1064.7,42.0,0.00026399999999999997,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-7.yaml,pressure,d/dt max,0.0001807501702986249,0.6846597359796398,True
981.26,42.0,0.00056,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-7.yaml,pressure,d/dt max,0.0013250868167938334,2.366226458560417,True
942.63,42.0,0.0005639999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-7.yaml,pressure,d/dt max,0.004128347657710934,7.319765350551303,True
916.58,42.0,0.000552,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-7.yaml,pressure,d/dt max,0.009669580390270374,17.517355779475317,True
866.68,42.0,0.000395,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-7.yaml,pressure,d/dt max,0.06101925500140122,154.47912658582587,True
813.4,42.0,0.000455,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-7.yaml,pressure,d/dt max,0.622782658748449,1368.7530961504372,True
1228.0,13.5,0.000185,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,4.225056272197282e-05,0.22838142011877202,True
1210.7,13.5,0.00022899999999999998,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,5.2525975179787456e-05,0.2293710706540937,True
1193.5,13.5,0.000245,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,6.63756063347117e-05,0.27092084218249673,True
1117.4,13.5,0.000576,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,0.00024356400862347814,0.4228541816379829,True
1007.8,13.5,0.001926,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,0.004144587837477537,2.15191476504545,True
970.71,13.5,0.003032,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,0.014493229703373295,4.7800889522998995,True
968.59,13.5,0.0034639999999999996,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,0.015644465632585394,4.516300702247516,True
913.18,13.5,0.003861,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,0.14168978825990775,36.69769185700797,True
893.31,13.5,0.0038339999999999997,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,0.34728932124024725,90.58146093903163,True
831.21,13.5,0.0022559999999999998,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,,,False
808.27,13.5,0.00216,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,,,False
786.14,13.5,0.001815,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,,,False
748.03,13.5,0.002535,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,,,False
716.18,13.5,0.00505,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,,,False
693.45,13.5,0.006967999999999999,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,,,False
691.19,13.5,0.006559,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,,,False
686.84,13.5,0.007483,2.0,"{'nC7H16': 0.036792, 'O2': 0.202354, 'N2': 0.760854}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-8.yaml,pressure,d/dt max,,,False
1280.3,13.5,0.000104,3.0,"{'nC7H16': 0.054191, 'O2': 0.198699, 'N2': 0.74711}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-9.yaml,pressure,d/dt max,2.5486233246533036e-05,0.24505993506281767,True
1178.1,13.5,0.00027299999999999997,3.0,"{'nC7H16': 0.054191, 'O2': 0.198699, 'N2': 0.74711}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-9.yaml,pressure,d/dt max,0.00010536937241364539,0.3859683971195802,True
1093.1,13.5,0.0006309999999999999,3.0,"{'nC7H16': 0.054191, 'O2': 0.198699, 'N2': 0.74711}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-9.yaml,pressure,d/dt max,0.0007287741316397379,1.1549510802531506,True
1011.3,13.5,0.001517,3.0,"{'nC7H16': 0.054191, 'O2': 0.198699, 'N2': 0.74711}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-9.yaml,pressure,d/dt max,0.010400386153902026,6.855890674951896,True
942.79,13.5,0.002722,3.0,"{'nC7H16': 0.054191, 'O2': 0.198699, 'N2': 0.74711}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-9.yaml,pressure,d/dt max,0.18985584305070458,69.74865652119932,True
903.53,13.5,0.00197,3.0,"{'nC7H16': 0.054191, 'O2': 0.198699, 'N2': 0.74711}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-9.yaml,pressure,d/dt max,1.4247097589221906,723.2029233107567,True
868.83,13.5,0.0017109999999999998,3.0,"{'nC7H16': 0.054191, 'O2': 0.198699, 'N2': 0.74711}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-9.yaml,pressure,d/dt max,,,False
833.31,13.5,0.001302,3.0,"{'nC7H16': 0.054191, 'O2': 0.198699, 'N2': 0.74711}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-9.yaml,pressure,d/dt max,,,False
738.34,13.5,0.002683,3.0,"{'nC7H16': 0.054191, 'O2': 0.198699, 'N2': 0.74711}",external/ckdb/n-heptane/Ciezki 1993/st_ciezki_1993-9.yaml,pressure,d/dt max,,,False
752.0,40.0,0.001,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Fieweger 1997/st_fieweger_1997.yaml,pressure,d/dt max,,,False
787.0,40.0,0.00058,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Fieweger 1997/st_fieweger_1997.yaml,pressure,d/dt max,,,False
813.0,40.0,0.00047999999999999996,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Fieweger 1997/st_fieweger_1997.yaml,pressure,d/dt max,0.6501079892365083,1354.3916442427258,True
870.0,40.0,0.00039999999999999996,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Fieweger 1997/st_fieweger_1997.yaml,pressure,d/dt max,0.054929372910438666,137.32343227609667,True
881.0,40.0,0.000495,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Fieweger 1997/st_fieweger_1997.yaml,pressure,d/dt max,0.035852437802569866,72.42916727791892,True
917.0,40.0,0.000535,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Fieweger 1997/st_fieweger_1997.yaml,pressure,d/dt max,0.009810309531586183,18.33702716184333,True
947.0,40.0,0.0005499999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Fieweger 1997/st_fieweger_1997.yaml,pressure,d/dt max,0.0037130581944887016,6.751014899070367,True
984.0,40.0,0.0005499999999999999,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Fieweger 1997/st_fieweger_1997.yaml,pressure,d/dt max,0.0012680835803279167,2.3056065096871214,True
1064.0,40.0,0.000288,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Fieweger 1997/st_fieweger_1997.yaml,pressure,d/dt max,0.00018969537774895292,0.6586645060727532,True
1143.0,40.0,8.999999999999999e-05,1.0,"{'nC7H16': 0.01874, 'O2': 0.20615, 'N2': 0.77511}",external/ckdb/n-heptane/Fieweger 1997/st_fieweger_1997.yaml,pressure,d/dt max,4.7548391883194894e-05,0.5283154653688322,True
