CA10_deg_atdc,CA50_deg_atdc,CA90_deg_atdc,blowby_mass_in_mg,blowby_mass_out_mg,branch,case,compression_start_boundary_temperature_K,compression_start_core_temperature_K,compression_start_pressure_bar,error,event_CA10_elapsed_s,event_criterion,event_elapsed_at_+0_CAD_s,event_elapsed_at_+20_CAD_s,event_elapsed_at_+40_CAD_s,event_elapsed_at_-20_CAD_s,event_elapsed_at_-40_CAD_s,event_first_inventory_conversion_onset_1pct_deg_atdc,event_first_inventory_conversion_onset_1pct_elapsed_s,failed_gates,four_stroke_period_s,fuel_composition,fuel_profile,gate_CA50_in_minus15_to_plus20_CAD,gate_conversion_10_to_90pct,gate_end_mass_retention_at_least_0p87,gate_max_pressure_rise_at_most_10_bar_per_deg,gate_pass,gate_peak_temperature_below_1600K,gate_positive_gross_imep,gate_pressure_coupling_at_most_0p10_bar,gross_imep_bar,gross_indicated_power_W_per_cylinder,gross_indicated_work_mJ,gross_work_supported_mJ,limiting_mechanism,mass_balance_residual_mg,mass_retained_end_fraction,max_fuel_consumed_fraction,max_interzone_pressure_difference_bar,max_pressure_rise_bar_per_deg,max_pressure_rise_deg_atdc,max_volume_closure_error_mm3,mechanism,mechanism_case,minimum_motor_torque_proxy_Nm,minimum_motor_work_proxy_mJ,mixing_time_max_observed_ms,mixing_time_min_observed_ms,modeled_compression_expansion_period_s,peak_boundary_temperature_K,peak_core_temperature_K,peak_pressure_bar,peak_pressure_deg_atdc,peak_temperature_K,reacting_tdc_boundary_temperature_K,reacting_tdc_core_temperature_K,reacting_tdc_pressure_bar,revolution_period_s,rpm,screen_class,stable_idle_status,status,trace_P_bar_at_+0_CAD,trace_P_bar_at_+180_CAD,trace_P_bar_at_+45_CAD,trace_P_bar_at_+90_CAD,trace_P_bar_at_-180_CAD,trace_P_bar_at_-45_CAD,trace_P_bar_at_-90_CAD,transition_step_deg,trapped_mass_mg,uncertainty_factor,wall_energy_gas_to_wall_mJ,wall_heat_mJ
-10.512222444505484,3.545868800590604,22.6715209609265,0.0,0.050602974788938576,cool_partial_candidate,uncertainty,300.0,300.0,3.0000000000000004,,0.025541645948024487,global fuel inventory >= 1% for onset; CA10 from cumulative heat release,0.027125827814569535,0.03013980868285504,0.033153789551140546,0.02411184694628403,0.021097866077998528,-12.25,0.025279764532744664,,0.10850331125827814,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,True,True,True,True,True,True,True,True,7.494158887189268,2.7435045029348246,297.67932302042493,297.67932302042493,none_within_screen,1.136438346423894e-06,0.9678101803646864,0.7118430545323303,0.059308049790735826,8.897333198686084,-10.375,0.06444520303574897,mechanisms\dme_zhao_sk39.yaml,dme_zhao_sk39,0.0,0.0,33.773727880779255,12.564391252481167,0.05425165562913907,869.8934276897343,1179.4013096007563,82.15410563726086,6.375,1179.4013096007563,857.1202193404885,963.555880634825,72.42137150729876,0.05425165562913907,1105.95703125,robust,unresolved,ok,72.42137150729876,5.968677173420051,32.26406965266964,11.171347054764277,3.0000000000000004,20.065361044477676,7.026888690152435,0.125,1.5720532702758607,annular_clearance_eccentricity,69.89651791538304,69.89651791538304
-10.396604354425348,3.5851909897623657,20.217225241924616,0.0,0.06845248777912792,cool_partial_candidate,uncertainty,300.0,300.0,3.0000000000000004,,0.025559069483600948,global fuel inventory >= 1% for onset; CA10 from cumulative heat release,0.027125827814569535,0.03013980868285504,0.033153789551140546,0.02411184694628403,0.021097866077998528,-12.125,0.02529860191317145,,0.10850331125827814,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,True,True,True,True,True,True,True,True,6.85675581352553,2.51016034395652,272.3607091085008,272.3607091085008,none_within_screen,2.3783807834996514e-06,0.9564551230837749,0.6862786365120722,0.05930831815003068,8.762697623015612,-10.25,0.06362667660524603,mechanisms\dme_zhao_sk39.yaml,dme_zhao_sk39,0.0,0.0,33.773727880779255,12.564391252481167,0.05425165562913907,864.4177234552245,1168.1300215036204,80.82787560340046,6.875,1168.1300215036204,854.8119546512601,957.9592034448186,71.626452534886,0.05425165562913907,1105.95703125,robust,unresolved,ok,71.626452534886,5.772286973009191,31.10205307686862,10.746041199505985,3.0000000000000004,20.041111430346557,7.024390417312831,0.125,1.5720532702758607,annular_clearance_eccentricity,57.64368913664353,57.64368913664353
-9.995102136691495,3.936180490781,16.166937471692613,0.0,0.11900882580389802,cool_partial_candidate,uncertainty,300.0,300.0,3.0000000000000004,,0.025619575483742153,global fuel inventory >= 1% for onset; CA10 from cumulative heat release,0.027125827814569535,0.03013980868285504,0.033153789551140546,0.02411184694628403,0.021097866077998528,-11.625,0.025373951434878587,,0.10850331125827814,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,True,True,True,True,True,True,True,True,5.516171856290953,2.019391709530801,219.1106872116069,219.1106872116069,none_within_screen,7.130961595506385e-06,0.9242926693288143,0.6362972567306783,0.05930912321404438,8.489012214902232,-9.75,0.06365490074363267,mechanisms\dme_zhao_sk39.yaml,dme_zhao_sk39,0.0,0.0,33.773727880779255,12.564391252481167,0.05425165562913907,855.6998258007505,1140.9841709848006,76.27617575336193,8.625,1140.9841709848006,848.6720661838735,943.4090355621022,69.44611773126955,0.05425165562913907,1105.95703125,robust,unresolved,ok,69.44611773126955,5.3656819782991265,28.701609645588853,9.890245813741691,3.0000000000000004,19.968297842693097,7.01679545903744,0.125,1.5720532702758607,annular_clearance_eccentricity,34.29971214697756,34.29971214697756
-9.663233435570037,4.2423734074632495,14.855640800425064,0.0,0.15550670119247653,cool_partial_candidate,uncertainty,300.0,300.0,3.0000000000000004,,0.025669587779540287,global fuel inventory >= 1% for onset; CA10 from cumulative heat release,0.027125827814569535,0.03013980868285504,0.033153789551140546,0.02411184694628403,0.021097866077998528,-11.375,0.025411626195732156,,0.10850331125827814,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,True,True,True,True,True,True,True,True,4.72317473854768,1.729086793916852,187.6116425929384,187.6116425929384,none_within_screen,8.065241884902507e-06,0.9010753837832276,0.6083328390176941,0.059309749360685816,8.25072406621095,-9.375,0.06508163617338289,mechanisms\dme_zhao_sk39.yaml,dme_zhao_sk39,0.0,0.0,33.773727880779255,12.564391252481167,0.05425165562913907,852.8946586488767,1120.358846039748,71.81250822897388,10.375,1120.358846039748,844.5969945017337,933.9330510327266,67.92986475653643,0.05425165562913907,1105.95703125,robust,unresolved,ok,67.92986475653643,5.128783007252476,27.318221988267005,9.40440397439154,3.0000000000000004,19.911645155861397,7.010871807960788,0.125,1.5720532702758607,annular_clearance_eccentricity,21.75212980550947,21.75212980550947
-9.157472034743837,4.353755470666956,16.978645701499904,0.0,0.2042113833279197,cool_partial_candidate,uncertainty,300.0,300.0,3.0000000000000004,,0.02574580553884066,global fuel inventory >= 1% for onset; CA10 from cumulative heat release,0.027125827814569535,0.03013980868285504,0.033153789551140546,0.02411184694628403,0.021097866077998528,-10.75,0.025505813097866075,,0.10850331125827814,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,True,True,True,True,True,True,True,True,3.7126670788609637,1.3591543763723368,147.4727503475786,147.4727503475786,none_within_screen,8.859136031851857e-06,0.8700933064258596,0.57231264370593,0.05931065501519944,7.783691317937354,-8.875,0.06360815579529994,mechanisms\dme_zhao_sk39.yaml,dme_zhao_sk39,0.0,0.0,33.773727880779255,12.564391252481167,0.05425165562913907,848.60509359261,1072.804663707526,66.00893718555811,1.25,1072.804663707526,839.5912174154689,922.1847617198794,65.94472277835533,0.05425165562913907,1105.95703125,robust,unresolved,ok,65.94472277835533,4.841975537253479,25.65087679665013,8.823712662854,3.0000000000000004,19.831131361950128,7.002439224408975,0.125,1.5720532702758607,annular_clearance_eccentricity,6.714038710235896,6.714038710235896
-3.7513743560578297,-2.065160304009084,5.756312638275424,0.0,0.5029979923935058,no_positive_gross_work,uncertainty,300.0,300.0,3.0000000000000004,,0.026560499287622778,global fuel inventory >= 1% for onset; CA10 from cumulative heat release,0.027125827814569535,0.03013980868285504,0.033153789551140546,0.02411184694628403,0.021097866077998528,-5.25,0.02633465783664459,positive_gross_imep;end_mass_retention_at_least_0p87,0.10850331125827814,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,True,True,False,True,False,True,False,True,-2.404210537586974,-0.8801471299398986,-95.49887799294899,-95.49887799294899,nonpositive_gross_work,6.45970995610085e-06,0.6800334558540782,0.2534329512964778,0.05931851411362004,4.279790520930362,-2.0,0.06329937872319225,mechanisms\dme_zhao_sk39.yaml,dme_zhao_sk39,0.007599559246153827,95.49887799294899,33.773727880779255,12.564391252481167,0.05425165562913907,693.2501981309255,854.2193281115245,51.90320003644372,-0.375,854.2193281115245,693.0449932647922,853.0341066941752,51.86579430265906,0.05425165562913907,1105.95703125,implausible,unresolved,ok,51.86579430265906,3.0616648660299384,14.500073692535011,5.131710578326218,3.0000000000000004,19.15431183570689,6.929608519492461,0.125,1.5720532702758607,annular_clearance_eccentricity,-101.78659636218713,-101.78659636218713
-7.810145670618573,-6.404453442934965,7.912414551102833,0.0,0.3242844603183685,no_positive_gross_work,uncertainty,300.0,300.0,3.0000000000000004,,0.025948846333081175,global fuel inventory >= 1% for onset; CA10 from cumulative heat release,0.027125827814569535,0.03013980868285504,0.033153789551140546,0.02411184694628403,0.021097866077998528,-9.125,0.025750699043414274,positive_gross_imep;end_mass_retention_at_least_0p87,0.10850331125827814,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,True,True,False,True,False,True,False,True,-0.2952198554527299,-0.10807577140843147,-11.726579064607558,-11.726579064607558,nonpositive_gross_work,4.7092485332134e-06,0.7937161699934022,0.37065546615761663,0.05931337182334566,6.7149492286477255,-7.0,0.06422261815448488,mechanisms\dme_zhao_sk39.yaml,dme_zhao_sk39,0.0009331715118451136,11.726579064607558,33.773727880779255,12.564391252481167,0.05425165562913907,832.4357689205499,900.3911399808882,61.059562301532196,-1.125,900.3911399808882,829.1228411198351,895.2096952340387,60.96209391248421,0.05425165562913907,1105.95703125,implausible,unresolved,ok,60.96209391248421,3.766088695091866,18.467954504770077,6.466895700849827,3.0000000000000004,19.591876352971553,6.977052635611866,0.125,1.5720532702758607,annular_clearance_eccentricity,-64.15830014507807,-64.15830014507807
2.078669738799172,5.980858158681978,8.131961151772627,0.0,0.6114931162929083,no_positive_gross_work,uncertainty,300.0,300.0,3.0000000000000004,,0.02743908135578077,global fuel inventory >= 1% for onset; CA10 from cumulative heat release,0.027125827814569535,0.03013980868285504,0.033153789551140546,0.02411184694628403,0.021097866077998528,-0.125,0.02710699043414275,positive_gross_imep;end_mass_retention_at_least_0p87,0.10850331125827814,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,True,True,False,True,False,True,False,True,-3.3445348653659956,-1.2243864323505889,-132.84998216974867,-132.84998216974867,nonpositive_gross_work,4.752771368982407e-06,0.6110196259717249,0.19746157399329858,0.05932270557973883,1.1253278836241805,6.5,0.06499796896252934,mechanisms\dme_zhao_sk39.yaml,dme_zhao_sk39,0.01057186567599283,132.84998216974867,33.773727880779255,12.564391252481167,0.05425165562913907,674.9419857543731,811.3052528145997,41.695383461079736,-6.25,811.3052528145997,649.4911453333957,697.4204899748936,40.55551131380025,0.05425165562913907,1105.95703125,implausible,unresolved,ok,40.55551131380025,2.711040319152416,12.647973934484288,4.501235910769244,3.0000000000000004,18.81080061124829,6.8913276884194286,0.125,1.5720532702758607,annular_clearance_eccentricity,-116.85810686655273,-116.85810686655273
-3.0741477989366603,6.455760785020364,20.73592978803559,0.0,0.8235644100352748,no_positive_gross_work,uncertainty,300.0,300.0,3.0000000000000004,,0.026662556681955683,global fuel inventory >= 1% for onset; CA10 from cumulative heat release,0.027125827814569535,0.03013980868285504,0.033153789551140546,0.02411184694628403,0.021097866077998528,,,positive_gross_imep;conversion_10_to_90pct;end_mass_retention_at_least_0p87,0.10850331125827814,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,True,False,False,True,False,True,False,True,-5.777195882553351,-2.1149488764130275,-229.47895623278836,-229.47895623278836,nonpositive_gross_work,-5.4274063509732666e-06,0.4761252699252314,8.09961064800958e-06,0.05933697832799575,0.6035122042708991,-29.375,0.0650032964210909,mechanisms\dme_zhao_sk39.yaml,dme_zhao_sk39,0.018261355110008485,229.47895623278836,33.773727880779255,12.564391252481167,0.05425165562913907,655.6354172078642,667.2240883018368,34.5277578323964,-9.5,667.2240883018368,618.6453938583621,653.807024538815,32.02263705539712,0.05425165562913907,1105.95703125,implausible,unresolved,ok,32.02263705539712,1.9206261991408973,7.752359139430317,2.9269863507064233,3.0000000000000004,17.848215962334702,6.779173510493102,0.125,1.5720532702758607,annular_clearance_eccentricity,-154.1054594496871,-154.1054594496871
-10.928809350997245,-6.247054203837623,13.185558325897784,0.0,0.12053323171182341,cool_partial_candidate,uncertainty,300.0,300.0,2.3000000000000007,,0.025478866699717263,global fuel inventory >= 1% for onset; CA10 from cumulative heat release,0.027125827814569535,0.03013980868285504,0.033153789551140546,0.02411184694628403,0.021097866077998528,-12.125,0.02529860191317145,,0.10850331125827814,"CH3OCH3:0.25, CH4:0.75",dme_zhao_sk39,True,True,True,True,True,True,True,True,1.1040960572455198,0.4041937928356027,43.856364912705395,43.856364912705395,none_within_screen,4.63008232783075e-06,0.8999885684759384,0.41913493225757203,0.07297655301872437,5.642148601745021,-10.375,0.06269702260734046,mechanisms\dme_zhao_sk39.yaml,dme_zhao_sk39,0.0,0.0,33.773727880779255,12.564391252481167,0.05425165562913907,821.1229401174289,924.8282305543511,50.533502187779064,0.125,924.8282305543511,815.8839650366301,910.8266411860017,50.533310331230666,0.05425165562913907,1105.95703125,robust,unresolved,ok,50.533310331230666,3.412208614278861,16.83041023163599,5.919580796840249,2.3000000000000007,15.39321232928278,5.449596251849566,0.125,1.2052408405448267,intake_pressure,-33.48628321078614,-33.48628321078614
