temperature_K,pressure_bar,equivalence_ratio,skeleton_delay_dPdt_s,parent_delay_dPdt_s,skeleton_to_parent_ratio
650,40.0,1.0,0.012229524080344457,0.012140436914272827,1.0073380527159526
700,40.0,1.0,0.002570859186193622,0.002551863236191633,1.0074439530036643
750,40.0,1.0,0.0007975636500034994,0.0007889654965951093,1.010898009412955
800,40.0,1.0,0.00040800170597757383,0.00038941002165956523,1.0477432096862214
850,40.0,1.0,0.0003038400060319162,0.00027667802683669973,1.098171797398454
900,40.0,1.0,0.00032341502189360094,0.0002816711452224632,1.1482007560205305
950,40.0,1.0,0.00039990854278760694,0.00034399965631226625,1.1625259951556153
1000,40.0,1.0,0.00046255926745167325,0.000405441639290212,1.1408775582632669
1050,40.0,1.0,0.0003917659042809506,0.0003640190017664607,1.0762237750772448
1100,40.0,1.0,0.00024798508236571895,0.0002411660907819649,1.0282750844517317
