case_id,hypothesis,case,mechanism,mechanism_path,temperature_K,pressure_bar,equivalence_ratio,egr_fraction,fuel,oxidizer,status,delay_s,delay_ms,peak_dPdt_Pa_s,final_temperature_K,final_pressure_bar,error_type,error,ignition_criterion
zhao_sk39:dme25_co_75:phi0.40,partner,dme25_co_75,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,905,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013274308254806004,1.3274308254806004,390593541298.35077,1905.2449822774977,84.89032519890785,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75:phi0.40,partner,dme25_co_75,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,915,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013245678899634957,1.3245678899634956,404063245750.3052,1915.2356593307604,84.39674778699022,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75:phi0.40,partner,dme25_co_75,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,925,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.001322948965318576,1.322948965318576,417295485733.7425,1925.2055572731156,83.91303613574374,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75:phi0.40,partner,dme25_co_75,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,935,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.001323576002321144,1.323576002321144,430153103103.87103,1936.953585994983,83.50814912384116,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75:phi0.40,partner,dme25_co_75,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,945,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013265103059382974,1.3265103059382974,442391568331.6283,1945.4041292125444,82.98621495838529,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75:phi0.40,partner,dme25_co_75,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,955,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013306053138246981,1.330605313824698,454344389328.43835,1955.4547026974587,82.53554054780048,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75:phi0.40,partner,dme25_co_75,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,965,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013333142699227122,1.333314269922712,466255857266.55194,1965.7128670096392,82.10194332384107,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:dme25_co_75:phi0.40,partner,dme25_co_75,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,975,40.0,0.4,,"CH3OCH3:0.25,CO:0.75","O2:1,N2:3.76",ignited,0.0013312414929536832,1.3312414929536833,478260439020.0782,1975.6303888236757,81.66470144489077,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme:phi0.40,reference,pure_dme,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,875,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0006806299438901409,0.680629943890141,288205893235.00256,1875.281193580275,89.19786809961272,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme:phi0.40,reference,pure_dme,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,885,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0006986439730146285,0.6986439730146284,300860370708.19824,1885.2630676934832,88.65468948303474,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme:phi0.40,reference,pure_dme,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,895,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0007174678837025541,0.7174678837025541,313240614950.2073,1895.6499202842972,88.1403460446521,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme:phi0.40,reference,pure_dme,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,905,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0007367216112970048,0.7367216112970049,325379193509.08435,1905.49176894585,87.61468362664755,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme:phi0.40,reference,pure_dme,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,915,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.000756322806063601,0.756322806063601,337647509843.54364,1916.0536005707338,87.12977297240982,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme:phi0.40,reference,pure_dme,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,925,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0007764390420233181,0.776439042023318,350113730503.0508,1925.156254004278,86.59641860997651,,,accepted-step maximum dP/dt after qualifying +400 K rise
zhao_sk39:pure_dme:phi0.40,reference,pure_dme,zhao_sk39,mechanisms/dme_zhao_sk39.yaml,935,40.0,0.4,,CH3OCH3:1,"O2:1,N2:3.76",ignited,0.0007972771615120668,0.7972771615120668,362780093084.6708,1935.0151430047151,86.10462289166989,,,accepted-step maximum dP/dt after qualifying +400 K rise
