crank_angle_deg_atdc,time_s,core_mean,wall_shell_mean,delta_c,tracer_min,tracer_max,core_volume_mm3,wall_shell_volume_mm3,total_volume_mm3,python_volume_mm3,volume_error_percent,mass_mg,mass_error_percent,k_mix_1_s,tau_mix_ms
-180.0,0.0,0.0,1.0,1.0,0.0,1.0,377.2555772813726,78.16455464322742,455.42013192460007,456.06180575133493,-0.14069887428476147,1.5865419963998453,0.0,nan,nan
-179.55,6.249999999999842e-05,0.0012441658228847375,0.9939950401796327,0.9927508743567479,4.23069394485e-46,0.999899275212,377.25209366167667,78.16383286310977,455.4159265247864,456.0575944263084,-0.14069887430099293,1.586541047495928,-5.98095681869637e-05,115.37576947168715,8.66733114395737
-179.1,0.0001250000000000008,0.0024574749338013096,0.988139002228169,0.9856815272943676,1.50149006934e-43,0.999652200612,377.2416427532301,78.1616675124826,455.4033102657127,456.0449603913672,-0.14069887431797934,1.5865410474956196,-5.980958762696886e-05,113.33963921862146,8.823038496453076
-178.65,0.00018749999999999922,0.0036410731135522317,0.9824263562636648,0.9787852831501126,1.16827496426e-41,0.999266143129,377.2242244077434,78.15805856061715,455.3822829683606,456.0239034669817,-0.1406988742789883,1.586541047496193,-5.980955148920941e-05,111.3612453013395,8.97978463956681
-178.2,0.0002500000000000016,0.004796058582002606,0.976851802120536,0.9720557435385334,3.88844243505e-40,0.998748161712,377.19983837743575,78.153005956147,455.3528443335828,455.99442335411464,-0.1406988743003934,1.5865410474960824,-5.9809558461410006e-05,109.43911826495248,9.137500519503424
-177.75,0.0003125,0.00592348376982636,0.9714102605645946,0.9654867767947682,7.39036063016e-39,0.998105020813,377.16848431655484,78.14650962751678,455.31499394407166,455.9565196344891,-0.14069887429873917,1.5865410474958417,-5.980957363815875e-05,107.57181165571556,9.2961156329737
-177.3,0.00037499999999999844,0.00702435776597115,0.9660968616691198,0.9590725039031487,9.39601726828e-38,0.997343203084,377.13016178074434,78.13856948262392,455.26873126336824,455.9101917709655,-0.14069887429047911,1.586541047495672,-5.980958432960648e-05,105.75802547833344,9.455547184027838
-176.85,0.0004375000000000008,0.008099650612294217,0.9609069251173047,0.9528072745050105,8.83099501353e-37,0.996468921545,377.08487022762904,78.12918540908578,455.2140556367148,455.855439108024,-0.14069887431071848,1.5865410475004917,-5.980928053928025e-05,104.09083871724756,9.606993394648311
-176.4414617955,0.0004942414172916661,0.009054789951746274,0.9562969151581137,0.9472421252063674,5.5662050643e-36,0.995583975276,377.0377157436698,78.11941535015256,455.1571310938224,455.7984343600288,-0.14069887429667416,1.5865410474917556,-5.9809831176593775e-05,102.77945269015592,9.729571172310578
-176.170162619,0.0005319218584722229,0.009678966111052692,0.95328432427732,0.9436053581662673,1.72001842938e-35,0.994952910323,377.00322743855753,78.11226962937437,455.1154970679319,455.7567416730307,-0.14069887430405714,1.5865410474848627,-5.981026564017e-05,101.56702048260813,9.845715619581805
