requested_crank_angle_deg_atdc,sampled_crank_angle_deg_atdc,delta_c,k_mix_1_s,tau_mix_ms,mass_error_percent,tracer_min,tracer_max
-90.0,-89.81444811105,0.5342084254254503,38.164487310408965,26.202369544926665,-5.983074051751913e-05,2.25564956436e-11,0.73661848865
-45.0,-44.81444811105,0.40113088335232044,53.322427332960615,18.753834924950276,-5.983245963125938e-05,5.13741130047e-10,0.650373259056
-20.0,-20.06444811105,0.339653343883905,37.32977671963763,26.788266308433126,-5.9834341525899504e-05,1.84856735435e-09,0.588937100713
0.0,-0.1246702781561,0.3134378702307452,29.28539605824395,34.146712511968786,-5.983963839994999e-05,5.88034495055e-09,0.547521994178
20.0,20.07062110394,0.27773706279872584,55.70520754347513,17.951643016849903,-5.984407417392035e-05,3.09716530483e-07,0.521640775644
45.0,45.00787543953,0.23647053048261762,26.83291665605805,37.2676594504396,-5.984244455525811e-05,1.98995439681e-06,0.506847096516
90.0,90.00787543952,0.2260739399114383,-0.2866030049606391,nan,-5.984170339257133e-05,1.27609108976e-05,0.488996501877
