crank_angle_deg_atdc,time_s,core_mean,wall_shell_mean,delta_c,tracer_min,tracer_max,core_volume_mm3,wall_shell_volume_mm3,wall_shell_volume_fraction,wall_shell_mass_fraction,total_volume_mm3,python_volume_mm3,volume_error_percent,mass_mg,tracer_mass_mean,tracer_mass_variance,tracer_mass_rms,tracer_volume_mean,tracer_volume_variance,tracer_volume_rms,mf_zone_core_mean,mf_zone_shell_mean,mf_zone_delta_c,mf_zone_shell_mass_fraction,mf_zone_shell_volume_fraction,mf_zone_core_volume_mm3,mf_zone_shell_volume_mm3,mass_error_percent,tracer_inventory_error_percent,tracer_mass_rms_normalized,tracer_volume_rms_normalized,mf_zone_delta_c_normalized,k_mix_1_s,tau_mix_ms,k_global_mix_1_s,tau_global_mix_ms,k_mf_zone_mix_1_s,tau_mf_zone_mix_ms
-180.0,0.0,0.0,1.0,1.0,0.0,1.0,365.086649057887,90.33348286655838,0.19835197553705156,0.1983519755370509,455.4201319244454,456.06180575133493,-0.14069887431867878,1.5865419963992513,0.1983519755370509,0.15900846933760004,0.3987586605173611,0.19835197553705156,0.15900846933760046,0.39875866051736164,-2.440026974094663e-15,0.9917598776852506,0.9917598776852531,0.20000000000000032,0.20000000000000073,364.336105539556,91.08402638488941,0.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan
-179.55,6.249999999999842e-05,0.0040075910169633635,0.9838031421995939,0.9797955511826305,5.20949893667e-92,0.999999999791,365.08327780755656,90.33264871726254,0.19835197553711292,0.19835197685798286,455.41592652481916,456.0575944263084,-0.14069887429382089,1.5865410474956336,0.1983519755371244,0.15338007373807094,0.3916376817136867,0.1983519742165117,0.15338007297600997,0.3916376807407709,0.003730571809259203,0.9768375904485826,0.9731070186393235,0.20000000000000023,0.1999999974876958,364.33274236399865,91.0831841608205,-5.980954931317228e-05,3.7059244561987725e-11,0.9821421338048547,0.9821421313649921,0.9811921620690434,288.3074421298051,3.46851955195027,236.554314101823,4.227358963191674,269.657190537234,3.7084121436098734
-179.1,0.0001250000000000008,0.00702101517960806,0.9716242379917628,0.9646032228121547,7.0028219195e-88,0.999999993092,365.0731640084249,90.33014625732694,0.1983519755370565,0.1983519810425938,455.4033102657518,456.0449603913672,-0.14069887430939731,1.5865410474942674,0.1983519755371763,0.1498775891433706,0.3871402706298721,0.19835197003380942,0.1498775860577899,0.38714026664477813,0.006574454043288284,0.9654620615127388,0.9588876074694506,0.1999999999999996,0.19999999328721255,364.32265126962704,91.08065899612473,-5.980963542207007e-05,6.321609902215641e-11,0.9708636048871893,0.9708635948934389,0.9668546076974542,236.48898614176997,4.228526733166854,171.2458794288784,5.839556568222821,223.36977861801202,4.476881367689919
-178.8548840053,0.00015904388815277869,0.008394504134991793,0.9660732299305476,0.9576787257955558,2.53077267054e-86,0.999999976868,365.06481835288514,90.32808128963785,0.1983519755370453,0.19835197975286256,455.39289964252293,456.03453509993153,-0.1406988743227644,1.586541047486048,0.1983519755382143,0.14839141772665718,0.38521606628833277,0.19835197132634144,0.148391415379806,0.3852160632421836,0.007882649181103986,0.9602292809666539,0.9523466317855499,0.19999999999999998,0.19999999398686988,364.3143224523551,91.07857719016783,-5.9810153496542284e-05,5.865308239094702e-10,0.9660381188675432,0.9660381112284622,0.9602592857540346,208.46843908825002,4.796889180796689,143.41321123621648,6.972858297921354,198.2162419152911,5.044995255370425
-178.7666327355,0.0001713010089583338,0.008858915791695147,0.964196290126844,0.9553373743351489,5.25974682472e-86,0.999999967755,365.0613237830832,90.32721662734652,0.1983519755370589,0.1983519797837132,455.3885404104297,456.03016972574966,-0.14069887431039652,1.5865410474862391,0.19835197553822098,0.14790032036317297,0.3845781069733078,0.19835197129545862,0.14790031800955306,0.3845781039133053,0.008326461804383635,0.9584540304735711,0.9501275686691875,0.19999999999999968,0.19999999445354377,364.3108348541363,91.07770555629332,-5.981014145062247e-05,5.899059019043307e-10,0.9644382556465231,0.9644382479727011,0.9580217853607522,195.37448844070894,5.118375525796829,132.07221812208033,7.571615092249414,186.41315835542432,5.364428181047991
-178.6687844146,0.00018489105352777815,0.00935134759075204,0.9622061043664278,0.9528547567756758,1.16231395789e-85,0.999999953821,365.05714601864156,90.3261829221713,0.19835197553731967,0.19835198008272004,455.3833289408128,456.0249509132385,-0.14069887429202232,1.5865410474861377,0.19835197553848768,0.14738174303893142,0.38390329907273707,0.198351970997339,0.1473817405321571,0.38390329580788585,0.008798170964604278,0.9565671938340213,0.9477690228694171,0.20000000000000007,0.19999999452189846,364.30666564728637,91.07666329352644,-5.981014784550709e-05,7.243761146469296e-10,0.96274598418665,0.9627459759991118,0.9556436433801802,186.49349586933621,5.362117297112788,125.79121512225672,7.94968073905716,178.38319478692395,5.605909240466766
-178.5464111876,0.0002018873350555555,0.009936735215092092,0.9598402335838785,0.9499034983687864,3.121229598e-85,0.999999928438,365.05147244841993,90.32477910907996,0.1983519755370351,0.19835198039368707,455.37625155749987,456.01786355811004,-0.1406988742949533,1.5865410474858443,0.19835197553830675,0.14676659760542546,0.38310128896340906,0.19835197068608112,0.14676659494237643,0.3831012854877629,0.009360434170768497,0.9543181410084579,0.9449577068376894,0.2000000000000001,0.19999999403838908,364.301003960776,91.07524759672394,-5.981016633072045e-05,6.331379864832343e-10,0.9607347172506857,0.9607347085345196,0.9528089692872039,176.71819639061218,5.658726834160487,119.21871429084302,8.38794484530696,169.5181192523229,5.899074414054397
-178.3854771874,0.00022423927952777787,0.010661012795167976,0.9569130315613241,0.9462520187661562,1.16197916298e-84,0.999999874976,365.0432519827659,90.32274511719993,0.1983519755371008,0.19835198100702553,455.36599709996585,456.00759465238514,-0.14069887430457895,1.5865410474855306,0.1983519755383599,0.14600546058516092,0.38210660892630594,0.1983519700734046,0.1460054576072895,0.382106605029656,0.01005833235592844,0.9515265482680807,0.9414682159121522,0.2000000000000005,0.19999999337866675,364.2928006951027,91.07319640486315,-5.981018610379252e-05,6.599387702976856e-10,0.9582402760370138,0.9582402662650618,0.9492904856259354,167.03504620694545,5.986767583858215,112.91433472156739,8.856271459827266,160.7071979524044,6.2224966444637
-178.2104439754,0.00024854944786110956,0.01139957263208586,0.9539281037450666,0.9425285311129807,4.74267198125e-84,0.999999778537,365.0333322426713,90.32029067334511,0.19835197553705078,0.19835198230244436,455.3536229160164,455.9952030336811,-0.14069887432944794,1.5865410474852542,0.19835197553829356,0.14522814369278292,0.3810881048954204,0.19835196877838027,0.14522814004040385,0.3810881001033801,0.010772369285427286,0.9486704005497619,0.9378980312643347,0.1999999999999999,0.1999999920364671,364.2829019590367,91.07072095697973,-5.9810203534294004e-05,6.264988527959758e-10,0.9556860894280906,0.9556860774106944,0.9456906377916489,158.0513031662801,6.327059505152804,107.18814580961448,9.329389854137236,152.50398871435542,6.557205542164738
-178.0477683394,0.0002711432861944453,0.012047263452193268,0.9513104265286703,0.939263163076477,1.66356553435e-83,0.999999636995,365.02319814881383,90.31778319205876,0.1983519755373084,0.19835198368362894,455.3409813408726,455.9825436465793,-0.14069887425427474,1.586541047484978,0.19835197553875378,0.14454471633201588,0.38019036854188704,0.19835196739783342,0.14454471196750332,0.3801903628019828,0.01140040018334044,0.9461582769604057,0.9347578767770652,0.1999999999999998,0.19999999063975352,364.27278933480187,91.0681920060707,-5.981022094259103e-05,8.58513260482141e-10,0.9534347618898533,0.9534347474954206,0.9425243930605165,150.38067361364187,6.649790667710405,102.40097723058352,9.765531804918515,145.47404331071718,6.874078545160842
