requested_crank_angle_deg_atdc,sampled_crank_angle_deg_atdc,tracer_mass_rms,tracer_mass_rms_normalized,k_global_mix_1_s,tau_global_mix_ms,wall_shell_volume_fraction,tracer_inventory_error_percent,delta_c,k_mix_1_s,tau_mix_ms,mass_error_percent,tracer_min,tracer_max
-90.0,-89.99959413625,0.26573297203623647,0.6731700814236313,16.151495679562075,61.91377070207739,0.18271669603217688,4.30724345079625e-09,0.5757925596292733,31.876303334294114,31.37126628244092,-5.981396012932905e-05,6.69768897621e-10,0.804503214596
-45.0,-44.99959413625,0.23730820145010628,0.6011628141910803,25.271545815860087,39.57019516283065,0.14915071523029844,5.312816853120239e-09,0.45028235411189255,43.45306082099839,23.013338556734237,-5.981511859154409e-05,1.91093501603e-08,0.728525447977
-20.0,-19.79959413625,0.21081490409003523,0.5340484662635393,43.2003077319104,23.147983255252107,0.10016400452473027,5.309797046493259e-09,0.39857953007100344,21.969310322252948,45.518042457031044,-5.981512920527621e-05,4.43951661684e-08,0.671862840513
0.0,-0.007512091199157,0.18669490179930823,0.4729462862007176,35.544923075233655,28.133412973870293,0.07127730917738102,1.1156164880787856e-08,0.3848130876389833,12.24357646954218,81.67548121969565,-5.982084604339022e-05,8.03926978903e-08,0.623487551048
20.0,19.97982349976,0.17213450679741296,0.43606105433099884,21.524322085968958,46.459070627449364,0.10057469368470379,1.5129053565487993e-08,0.35220506727752154,65.00318162578583,15.383862373950544,-5.982479945876307e-05,1.28181550644e-07,0.601282978471
45.0,45.09986973871,0.16031444833149217,0.40611780092527944,18.214778757403412,54.90047468150274,0.14929137653634147,1.545270578162672e-08,0.24772271480731167,84.4115115254354,11.84672542794917,-5.982512059077294e-05,2.79800671505e-07,0.591981967585
90.0,89.99536377072,0.1471557255526638,0.3727833659224339,11.20439389137865,89.25070018909827,0.1827152534631879,1.3639667173492853e-08,0.20669339594716118,8.252307525944392,121.17822764797658,-5.982380646418761e-05,2.59539374273e-06,0.536992185639
