delta_c,k_mix_1_s,requested_crank_angle_deg_atdc,sampled_crank_angle_deg_atdc,tau_mix_ms
0.5511296666653764,35.28721193588979,-90.0,-90.0495291782,28.33887816971234
0.4159244003431446,61.39288324260885,-45.0,-44.89068272717,16.28853292405665
0.3191779094643946,91.93836083877619,-20.0,-20.10249970767,10.876852609473945
0.24414884256557173,93.85419147727148,0.0,0.0417339316905,10.654825152291343
0.1935379420665851,70.92506769288472,20.0,20.01243929565,14.099387318601334
0.1636270062387294,25.59631580157354,45.0,44.87415480367,39.068122449814624
0.15830790637946393,-1.3252850477671645,90.0,90.03036129901,nan
