accepted_steps,answer_gate,cell_count,delta_c_m20,delta_c_p0,delta_c_p20,delta_c_p45,error,k_mix_1_s_m20,k_mix_1_s_p0,k_mix_1_s_p20,k_mix_1_s_p45,max_answer_rel_error,max_co_target,max_courant,max_delta_t_cad,max_mass_error_percent,max_nominal_output_gap_cad,max_observed_output_gap_cad,max_volume_error_percent,mesh_level,runtime_s,sampled_cad_m20,sampled_cad_p0,sampled_cad_p20,sampled_cad_p45,status,tag,tau_mix_ms_m20,tau_mix_ms_p0,tau_mix_ms_p20,tau_mix_ms_p45,tracer_max,tracer_min,write_interval_steps
2580,pass,2706,0.28229456394619795,0.2128559520754867,0.16779202213667643,0.13738047354923547,,97.97024923761724,97.35663636716117,74.17534655953538,40.53827282281939,0.0,0.15,0.207300278286,0.15,5.982231574552799e-05,0.44999999999999996,0.45000000000399965,0.1406988744427129,coarse,176.04544616500002,-20.12349781437,0.06455556019621,19.8645555602,45.0645555602,ok,dt_0p150,10.207180320370503,10.271513451108758,13.481568288964713,24.668046524100806,1.0,0.0,3
2366,pass,2706,0.2817060344791541,0.21256148768065547,0.16726272002704617,0.1372346527338288,,98.24152245246465,97.2688103361017,73.84415195410922,40.56602677215122,0.004485048533457107,0.15,0.309291723441,0.25,5.982959169203994e-05,0.5,0.5000000000030003,0.14069887443736162,coarse,185.917676812,-19.98885610376,0.1344122918371,20.13441229184,45.13441229184,ok,dt_0p250,10.178995347754938,10.280787814147308,13.542033777047836,24.65116945311748,1.0,0.0,2
2324,failed_run_gate,2706,0.28005089238918957,0.2115749792470063,0.16662651851206672,0.13625350545480214,max Courant > 0.5,97.9760468128016,96.8411665883955,73.67069057767439,42.41257646209933,inf,0.15,0.739662660423,0.35,5.981512398722799e-05,0.35,0.35000000000002274,0.14069887442859086,coarse,254.984684141,-20.05898493408,0.05707809680316,20.07297695252,45.15939731584,gate_failed,dt_0p350,10.206576326871554,10.326187046571889,13.573919182224227,23.577912105708048,1.0,0.0,1
2332,failed_run_gate,2706,0.28070452578826754,0.21189421281235243,0.16638490252439075,0.13643586650251072,max Courant > 0.5,98.4095415853478,97.51826210756788,73.86529045377713,41.058410076397884,inf,0.15,0.854130072132,0.45,5.981510132757606e-05,0.45,0.45000000000001705,0.14069887446387375,coarse,254.79265167100004,-20.04634535962,0.008801661235137,20.15557548337,45.12923846474,gate_failed,dt_0p450,10.16161628120916,10.254489552910062,13.53815836716668,24.35554611440842,1.0,0.0,1
