requested_crank_angle_deg_atdc,sampled_crank_angle_deg_atdc,delta_c,k_mix_1_s,tau_mix_ms,mass_error_percent,tracer_min,tracer_max
-90.0,-89.81444811105,0.5342076798986527,38.166557577915725,26.2009482505341,-5.983074051751913e-05,2.03524328054e-11,0.736621717199
-45.0,-44.81444811105,0.4011258066307496,53.32353902708315,18.753443943247984,-5.983245963125938e-05,4.88911504117e-10,0.65038104901
-20.0,-20.06444811105,0.3396460384386365,37.33008805230039,26.788042894487013,-5.9834341525899504e-05,1.77403955759e-09,0.588948150192
0.0,-0.1246702781561,0.3134332749048489,29.28324379471391,34.1492222313334,-5.983963839994999e-05,5.14068559106e-09,0.547537152698
20.0,20.07062110394,0.27773618618309903,55.706991167838126,17.951068241814145,-5.984407417392035e-05,2.90601233014e-07,0.521646761992
45.0,45.00787543953,0.2364610115260793,26.83934797313339,37.25872927319307,-5.984244455525811e-05,1.95477015888e-06,0.506835382647
90.0,90.00787543952,0.22606765877547993,-0.2899859937333102,nan,-5.984170339257133e-05,1.25370842288e-05,0.48898695585
