crank_angle_deg_atdc,time_s,core_mean,wall_shell_mean,delta_c,tracer_min,tracer_max,core_volume_mm3,wall_shell_volume_mm3,wall_shell_volume_fraction,wall_shell_mass_fraction,total_volume_mm3,python_volume_mm3,volume_error_percent,mass_mg,tracer_mass_mean,tracer_mass_variance,tracer_mass_rms,tracer_volume_mean,tracer_volume_variance,tracer_volume_rms,mass_error_percent,tracer_inventory_error_percent,tracer_mass_rms_normalized,tracer_volume_rms_normalized,k_mix_1_s,tau_mix_ms,k_global_mix_1_s,tau_global_mix_ms
-180.0,0.0,0.0,1.0,1.0,0.0,1.0,365.086649057887,90.33348286655838,0.19835197553705156,0.1983519755370509,455.4201319244454,456.06180575133493,-0.14069887431867878,1.5865419963992513,0.1983519755370509,0.15900846933760004,0.3987586605173611,0.19835197553705156,0.15900846933760046,0.39875866051736164,0.0,0.0,1.0,1.0,nan,nan,nan,nan
-179.55,6.249999999999842e-05,0.004004774131724701,0.9838140115764348,0.97980923744471,1.08045194237e-95,0.999999999813,365.08327780755656,90.33264871726254,0.19835197553711292,0.19835197685798286,455.41592652481916,456.0575944263084,-0.14069887429382089,1.5865410474956336,0.19835187334900672,0.15338427555922993,0.3916430461009488,0.19835187202839444,0.15338427479714684,0.3916430451280181,-5.980954931317228e-05,-5.151854116647314e-05,0.9821555865214807,0.9821555840815808,288.11743169876735,3.4708070042964994,236.3734283389019,4.230593967466782
-179.1,0.0001250000000000008,0.007016266359391148,0.9716424000278945,0.9646261336685034,1.32346338856e-91,0.999999993527,365.0731640084249,90.33014625732694,0.1983519755370565,0.1983519810425938,455.4033102657518,456.0449603913672,-0.14069887430939731,1.5865410474942674,0.1983517711305771,0.14988436697713542,0.38714902424923586,0.19835176562721088,0.14988436389138943,0.38714902026401854,-5.980963542207007e-05,-0.00010305240129016013,0.9708855570608484,0.9708855470667888,236.36047191791192,4.230825873233576,171.1337811383043,5.843381671043867
-178.8548840053,0.00015904388815277869,0.008389252406406589,0.9660932379368099,0.9577039855304033,1.03243029636e-89,0.999999978132,365.06481835288514,90.32808128963785,0.1983519755370453,0.19835197975286256,455.39289964252293,456.03453509993153,-0.1406988743227644,1.586541047486048,0.19835173412793985,0.1483986949111714,0.3852255117605419,0.19835172991606279,0.1483986925642041,0.3852255087143167,-5.9810153496542284e-05,-0.0001217074397041884,0.966061806057677,0.9660617984184052,208.41152562901453,4.798199125417191,143.37897846724178,6.974523118313839
-178.7666327355,0.0001713010089583338,0.00885367338487758,0.9642162560187311,0.9553625826338534,4.29651437381e-89,0.999999969417,365.0613237830832,90.32721662734652,0.1983519755370589,0.1983519797837132,455.3885404104297,456.03016972574966,-0.14069887431039652,1.5865410474862391,0.19835173324725286,0.14790747764940781,0.38458741223473214,0.19835172900448866,0.14790747529566484,0.38458740917464374,-5.981014145062247e-05,-0.00012215144183924664,0.9644615912185011,0.9644615835444634,195.37473219381718,5.1183691400174105,132.09845939347122,7.570110995930537
-178.6687844146,0.00018489105352777815,0.009346120205824572,0.9622260034758823,0.9528798832700577,1.71468871385e-88,0.99999995605,365.05714601864156,90.3261829221713,0.19835197553731967,0.19835198008272004,455.3833289408128,456.0249509132385,-0.14069887429202232,1.5865410474861377,0.19835173204336087,0.14738877077184448,0.38391245196248125,0.19835172750221028,0.14738876826493932,0.38391244869753743,-5.981014784550709e-05,-0.00012275838915387638,0.9627689376435914,0.962768929455821,186.49523542189934,5.362067281438839,125.81596399316949,7.948116981834592
-178.5464111876,0.0002018873350555555,0.009931527721826889,0.9598600404643118,0.9499285127424849,8.07763530192e-88,0.999999931582,365.05147244841993,90.32477910907996,0.1983519755370351,0.19835198039368707,455.37625155749987,456.01786355811004,-0.1406988742949533,1.5865410474858443,0.198351729695481,0.14677347781935582,0.3831102684859228,0.19835172484325617,0.146773475156166,0.3831102650101743,-5.981016633072045e-05,-0.00012394208286359287,0.9607572359403163,0.9607572272238937,176.72010959168327,5.6586655718499035,119.23981176381594,8.386460739981278
-178.3854771874,0.00022423927952777787,0.010655826448882837,0.9569327263604599,0.946276899911577,5.07154778053e-87,0.999999879815,365.0432519827659,90.32274511719993,0.1983519755371008,0.19835198100702553,455.36599709996585,456.00759465238514,-0.14069887430457895,1.5865410474855306,0.19835172441642288,0.14601218026791127,0.3821154017674651,0.1983517189514676,0.14601217728988403,0.38211539787070087,-5.981018610379252e-05,-0.0001266035426827905,0.958262326570406,0.9582623167981673,167.03778878182018,5.9866692877871515,112.9326894435536,8.854832067909118
-178.2104439754,0.00024854944786110956,0.011394415659428433,0.9539476463140757,0.9425532306546472,3.24663746118e-86,0.999999786033,365.0333322426713,90.32029067334511,0.19835197553705078,0.19835198230244436,455.3536229160164,455.9952030336811,-0.14069887432944794,1.5865410474852542,0.19835171776851923,0.14523470300755745,0.381096710832772,0.19835171100860763,0.14523469935498357,0.3810967060405844,-5.9810203534294004e-05,-0.00012995511184943354,0.9557076712473808,0.955707659229615,158.05656614134253,6.326848826424251,107.20633672829999,9.32780683043359
-178.0477683394,0.0002711432861944453,0.012042147534610761,0.951329776121104,0.9392876285864933,1.69688956585e-85,0.999999647885,365.02319814881383,90.31778319205876,0.1983519755373084,0.19835198368362894,455.3409813408726,455.9825436465793,-0.14069887425427474,1.586541047484978,0.1983517124034102,0.1445511221161561,0.3801987928915031,0.19835170426249474,0.1445511177514075,0.3801987871514157,-5.981022094259103e-05,-0.0001326599545881102,0.9534558883265937,0.9534558739317014,150.38886827615082,6.649428321807402,102.42016633799614,9.763702166816508
-177.9023374633,0.00029134201898611107,0.01259371071168284,0.949100591810479,0.9365068810987962,6.93865068256e-85,0.99999946604,365.01339226775167,90.31535692002639,0.19835197553664738,0.19835198339467588,455.328749187778,455.9702942594288,-0.140698874406453,1.5865410474837962,0.1983517085363195,0.1439671906285464,0.37943008661484184,0.1983517006812937,0.14396718644142964,0.37943008109720244,-5.981029542745375e-05,-0.00013460956497235443,0.9515281401601615,0.9515281263231206,144.2388535235615,6.932944734177671,98.65339122771466,10.136498984528272
-177.7734853565,0.000309238144930555,0.013063059620579737,0.9472036830177629,0.9341406233971832,2.31087744375e-84,0.999999243771,365.0041157663767,90.31306163319312,0.19835197553712686,0.19835198367236728,455.3171773995698,455.9587061663758,-0.14069887429057903,1.5865410474823296,0.19835170583531891,0.14346869487946684,0.37877261632735126,0.19835169770089375,0.1434686905679805,0.3787726106359599,-5.981038786462278e-05,-0.00013597128601938735,0.9498793476633728,0.9498793333905996,139.16498784236018,7.185715426733302,95.59197302317263,10.461129406311011
-177.6519846545,0.0003261132424305539,0.013490405273881593,0.9454765353157016,0.9319861300418201,6.91688377617e-84,0.999998966259,364.9948620261631,90.31077197771458,0.19835197553682243,0.19835198376174254,455.30563400387774,455.9471465064642,-0.14069887431072958,1.5865410474787582,0.19835170356804846,0.14301331403297438,0.3781710116243369,0.1983516953405951,0.143013309696502,0.3781710058908562,-5.9810612973443256e-05,-0.0001371143401485142,0.948370653903007,0.948370639524683,134.77089376941984,7.419999764273321,92.9746875035172,10.755615607335818
-177.5287906318,0.0003432235233611101,0.013909779538909116,0.9437815983866532,0.9298718188477441,2.03185049033e-83,0.999998599745,364.98497736532727,90.30832621380283,0.19835197553725326,0.1983519849347629,455.2933035791301,455.93479870840355,-0.14069887428875827,1.5865410474762318,0.19835170120599152,0.1425648946890989,0.37757766709525986,0.19835169180377604,0.14256488976187853,0.37757766057048253,-5.981077221273168e-05,-0.00013830518129642755,0.9468826748624836,0.9468826584997596,130.70932332488573,7.650563667248441,90.57428470709517,11.040661300653523
-177.3971983368,0.00036150023100000163,0.014343482095170262,0.9420287490891766,0.9276852669940063,6.24398180821e-83,0.999998089691,364.97386055957975,90.3055755797012,0.19835197553722708,0.19835198638467863,455.2794361392809,455.92091172972727,-0.14069887428779237,1.5865410474738875,0.19835169833275293,0.14209948753053236,0.37696085676172314,0.1983516874802105,0.14209948187144178,0.37696084925551854,-5.9810919972314025e-05,-0.00013975373686081483,0.9453358486876327,0.9453358298637027,126.77264964446029,7.888136777171937,88.25330742998243,11.331020095687299
-177.2527157604,0.00038156725549999884,0.014804154181536936,0.940166893199704,0.9253627390181671,2.06479010489e-82,0.999997353347,364.9609905748715,90.30239115604643,0.19835197553713949,0.19835198852270705,455.2633817309179,455.90483470120864,-0.14069887429711825,1.586541047471499,0.19835169454643467,0.14160328427329244,0.3763021183481332,0.1983516815542481,0.1416032775371571,0.37630210939769804,-5.9811070529658394e-05,-0.0001416626254746589,0.9436838760063742,0.9436838535606279,122.94207759293285,8.13391167270695,85.98780142485127,11.629556558367717
-177.0977377454,0.0004030919798055561,0.015281970277335967,0.9382357409525662,0.9229537706752302,7.16516922343e-82,0.999996308516,364.9464128531405,90.2987841866542,0.19835197553717593,0.19835199140955034,455.2451970397947,455.88662438844545,-0.14069887431140682,1.586541047468881,0.198351689900312,0.14108670953695038,0.3756151082384072,0.19835167402025405,0.14108670135006315,0.37561509734043325,-5.9811235531004314e-05,-0.00014400498816735663,0.9419610040596316,0.9419609767298815,119.44930373421535,8.371752440056774,83.90111237956383,11.91879310820168
-176.952052485,0.0004233260437500006,0.015717407727348996,0.9364758762954402,0.9207584685680912,2.26811447076e-81,0.999995036462,364.9319797979115,90.29521301220554,0.19835197553734274,0.19835199258582886,455.22719281011706,455.8685947912067,-0.1406988742849058,1.586541047464427,0.19835168602235526,0.14061450758406435,0.37498600985112013,0.19835166896056794,0.14061449883752922,0.374985998188638,-5.981151627310055e-05,-0.00014596007670286681,0.9403833621183358,0.9403833328713657,116.28872013903143,8.599286317748007,81.99333055599286,12.196113918279057
-176.8168415671,0.0004421053379027779,0.01611063324306448,0.9348866188902882,0.9187759856472237,6.50217945688e-81,0.99999355387,364.9179519320958,90.29174209368324,0.1983519755371684,0.1983519933578045,455.20969402577896,455.85107135162616,-0.14069887429362105,1.586541047458127,0.1983516829128782,0.14018696448594925,0.3744154971231149,0.19835166507229998,0.14018695538839998,0.37441548497411264,-5.981191336656977e-05,-0.00014752773291881738,0.9389526402695237,0.938952609802467,113.53106631978405,8.808161787041534,80.32201880718608,12.449886280877866
-176.6878927051,0.0004600149020694428,0.016476547218811134,0.933407733798819,0.9169311865800079,1.75039422764e-80,0.999991819128,364.9040064544158,90.28829156059538,0.19835197553720005,0.1983519962134361,455.19229801501126,455.83365083041144,-0.14069887430027128,1.5865410474570447,0.19835168020695568,0.1397881847855909,0.3738825815487944,0.19835165950862493,0.13978817427621315,0.37388256749441146,-5.98119815786724e-05,-0.00014889193536982148,0.9376162039056612,0.937616168660324,111.14754336460338,8.99704995475829,78.87119254046613,12.678900467834742
-176.5677325065,0.00047670381854166753,0.016810092469803795,0.9320596766692814,0.9152495841994776,4.38135017411e-80,0.999989877729,364.89051292829953,90.28495285382665,0.1983519755369292,0.1983519979156993,455.17546578212625,455.81679488144096,-0.14069887431013006,1.586541047452162,0.19835167801243478,0.13942395754506837,0.37339517611381695,0.1983516556051232,0.1394239462192181,0.3733951609477794,-5.981228933249483e-05,-0.0001499983124930715,0.9363938970738922,0.936393859040767,108.95731307988312,9.177906206872413,77.53417465030648,12.897538466233575
-176.4464975253,0.0004935420103749995,0.017139720355126797,0.9307274462262745,0.9135877258711477,1.10058536064e-79,0.999987550694,364.87641129097784,90.28146368219417,0.1983519755370937,0.19835200065712363,455.157874973172,455.7991792874204,-0.1406988742829629,1.5865410474499868,0.19835167575923776,0.1390633128784874,0.3729119371627669,0.19835165060810941,0.13906330021418264,0.3729119201824777,-5.981242643393614e-05,-0.00015113427144219926,0.9351820388777013,0.9351819962948276,106.89467239622466,9.355003178206273,76.27520922955934,13.110419625207198
-176.3178755288,0.0005114061765555572,0.017482264760436534,0.9293430225050797,0.9118607577446431,2.91668872331e-79,0.999984617258,364.8609151620946,90.27762947090224,0.19835197553680722,0.19835200110112852,455.13854463299685,455.7798217116934,-0.14069887435740336,1.5865410474473605,0.19835167307312387,0.1386878169711031,0.3724081322569408,0.19835164747357625,0.1386878041318329,0.3724081150187693,-5.981259197929134e-05,-0.00015248848729276787,0.933918605739541,0.9339185625099544,104.85836717871327,9.53667339007549,75.02843796777361,13.328279610852652
-176.1784518445,0.0005307705771527793,0.017845735858529662,0.9278740169788374,0.9100282811203078,8.44097256114e-79,0.999980819036,364.8434951992377,90.27331924523389,0.19835197553714656,0.19835200194978164,455.1168144444715,455.7580609056639,-0.14069887429266625,1.5865410474494521,0.19835166966505416,0.13828861515137691,0.37187177245843345,0.198351643213416,0.13828860193852624,0.37187175469310146,-5.9812460140307167e-05,-0.00015420668026955298,0.9325735320104551,0.9325734874588647,102.81988143625381,9.725745507885838,73.77286775654123,13.555118980871296
-176.0283487164,0.0005516182338333348,0.018228530692328895,0.9263268932522962,0.9080983625599673,2.71977890007e-78,0.999975908784,364.824017039627,90.26849975928907,0.19835197553726086,0.19835200603926176,455.0925167989161,455.7337290253782,-0.1406988742819859,1.586541047448778,0.19835166543268662,0.1378674020635557,0.3713049987053173,0.1983516348882484,0.13786738687182853,0.37130497824810876,-5.981250262854232e-05,-0.00015634044653323187,0.9311521866975263,0.931152135395295,100.84036660831406,9.916663669859688,72.54262786336807,13.784998275544567
-175.8766372508,0.000572689270722222,0.01860712552827973,0.9247967482581908,0.9061896227299111,9.47425967946e-78,0.99996996964,364.8035674572019,90.26343991371054,0.19835197553695502,0.1983520091420199,455.0670073709124,455.7081836554507,-0.14069887430924188,1.5865410474475807,0.19835166106575255,0.13745012595210016,0.37074266810295814,0.19835162740784554,0.13745010929354187,0.3707426456364871,-5.98125780904013e-05,-0.00015854205509535646,0.9297419838404157,0.929741927499391,99.02468359015828,10.098492252081142,71.40107423980567,14.005391524522835
-175.7383091349,0.0005919015090416677,0.018945608765523984,0.9234287473493361,0.9044831385838121,3.73085168535e-77,0.999963606332,364.78425352238236,90.25866106193801,0.1983519755370521,0.1983520070511408,455.0429145843204,455.6840569227633,-0.1406988742973736,1.5865410474443113,0.1983516577291345,0.1370765913253755,0.37023856001958455,0.19835162614357643,0.13707657577487667,0.37023853901893666,-5.98127841588969e-05,-0.0001602242254206132,0.9284777903989001,0.928477737733841,97.45825030605035,10.260803953074033,70.40464024208116,14.203609258730303
-175.6221957304,0.0006080283707777785,0.019225111703990626,0.9222991069881717,0.9030739952841811,1.39020155192e-76,0.999957503197,364.76754913196083,90.25452789047871,0.19835197553728315,0.198352008460403,455.0220770224396,455.6631900013261,-0.14069887429016825,1.5865410474446862,0.19835165573726893,0.13676786296001842,0.3698213933238833,0.198351622724955,0.1367678467812689,0.36982137145014876,-5.981276053335094e-05,-0.0001612284329932656,0.9274316270499712,0.9274315721954007,96.06878041827528,10.409208856884465,69.51853893548967,14.384652141897842
-175.5106448079,0.0006235215544583324,0.01948975657187939,0.9212295163386368,0.9017397597667575,4.71930390177e-76,0.999950909072,364.7510780317817,90.25045244190454,0.19835197553719866,0.19835201006607522,455.00153047368616,455.64261450309704,-0.14069887429427608,1.5865410474450399,0.19835165397404894,0.13647527622517946,0.36942560309916184,0.19835161934205398,0.1364752593191366,0.36942558021763544,-5.9812738240072605e-05,-0.00016211736791893472,0.9264390712413827,0.9264390138594895,94.79841842529844,10.548699193626362,68.71434599419882,14.553001786328936
-175.3923464053,0.0006399518881527774,0.019766375764052067,0.9201115303840576,0.9003451546200055,1.51088060063e-75,0.999943052444,364.73315763520964,90.24601839352245,0.19835197553705927,0.198352011453467,454.97917602873207,455.62022856134314,-0.14069887428731498,1.5865410474451354,0.19835165187399134,0.13616914830486876,0.3690110408983297,0.19835161584814806,0.1361691307753182,0.3690110171462611,-5.981273222266381e-05,-0.00016317612097083156,0.9253994393991695,0.9253993798341458,93.5453748634597,10.689999387565829,67.92215146558438,14.722737404846374
-175.2641864443,0.0006577518827361099,0.020061564578045605,0.9189184914847491,0.8988569269067035,4.61819312247e-75,0.999933447516,364.71321712462935,90.24108450771743,0.1983519755367478,0.19835201287966034,454.9543016323468,455.59531911782057,-0.14069887432447414,1.5865410474444226,0.1983516492142342,0.1358421400425427,0.36856768719265487,0.19835161175487998,0.13584212187787814,0.3685676625504171,-5.981277715338962e-05,-0.0001645170489505965,0.9242876047242822,0.9242875429269077,92.28406864573721,10.836106542276863,67.12132207637453,14.898395458631493
-175.1292680952,0.0006764905423333348,0.02036753152005247,0.917681892888924,0.8973143613688715,1.32658076632e-74,0.999922006662,364.6916336986837,90.23574411557198,0.19835197553754333,0.19835201375797148,454.9273778142557,455.5683573647129,-0.14069887429517536,1.5865410474446862,0.1983516461207566,0.13550286783368803,0.3681071417857687,0.19835160777577693,0.13550284930697157,0.3681071166209254,-5.981276053335094e-05,-0.00016607663896328617,0.9231326570015452,0.9231325938935896,91.00355432287964,10.988581791563995,66.30438855418761,15.081957948873093
-174.9869910742,0.0006962512396944436,0.02068511537230372,0.9163983369596678,0.895713221587364,3.66396796523e-74,0.999908334979,364.6682159567077,90.22994985732387,0.19835197553689649,0.19835201551517104,454.8981658140316,455.5391042057615,-0.14069887432548445,1.5865410474440673,0.19835164250044893,0.13515038534185075,0.36762805298541995,0.19835160238867514,0.13515036603320757,0.3676280267243067,-5.9812799546588025e-05,-0.0001679018326150583,0.9219312064807536,0.9219311406235915,89.72028948140222,11.145750930811321,65.4827804805097,15.271190268068107
-174.8371245023,0.0007170660413472242,0.021014283425083127,0.915067959524079,0.8940536760989959,1.01019705173e-73,0.999891995228,364.6428194952544,90.22366600450202,0.1983519755371169,0.19835201736007207,454.8664854997565,455.50737925475096,-0.14069887430649963,1.5865410474442587,0.19835163828154473,0.13478471635985462,0.3671303806004818,0.19835159631554003,0.13478469623521885,0.36713035319245785,-5.981278747846375e-05,-0.0001700288112860271,0.9206831523713019,0.9206830836379372,88.44973028909612,11.305856973577201,64.66581881633972,15.464120277207726
-174.6824017265,0.0007385553157638903,0.02134864816942053,0.9137165668532983,0.8923679186838778,2.9533717773e-73,0.999872868169,364.6158147969234,90.21698422505871,0.19835197553705555,0.1983520212847794,454.83279902198217,455.47364531361217,-0.1406988742869486,1.5865410474434836,0.19835163364724825,0.13441296221597412,0.3666237338416242,0.1983515877462572,0.13441294028580766,0.36662370393334864,-5.981283633937906e-05,-0.00017236521174801567,0.9194125924837744,0.9194125174803223,87.2993468998492,11.454839417609978,63.91922543414332,15.644745273553275
-174.5463581536,0.0007574502564444429,0.021638375444735063,0.9125456010478419,0.8909072256031069,8.50706218555e-73,0.999854059725,364.5914110984888,90.21094601179186,0.1983519755371837,0.1983520220671406,454.8023571102807,455.4431605102096,-0.14069887430324668,1.5865410474425836,0.1983516303791177,0.13409066242518475,0.3661839188511488,0.1983515836634624,0.13409064021668043,0.36618388852689904,-5.981289306067339e-05,-0.00017401285379303744,0.9183096321370203,0.9183095560903953,86.28802228655726,11.589093984319874,63.25535485716596,15.808938267093032
-174.4333813781,0.0007731414752638896,0.021876096050056835,0.9115848275015145,0.8897087314514577,2.10101037018e-72,0.999836953983,364.57067630390867,90.20581559620325,0.19835197553706502,0.1983520232851158,454.7764919001119,455.41725885666386,-0.14069887429399852,1.5865410474425543,0.198351628544049,0.13382612047240516,0.3658225259226189,0.1983515805860302,0.1338260977632264,0.3658224948840987,-5.981289491474584e-05,-0.00017493801155454847,0.9174033372666818,0.917403259428822,85.36798822801981,11.713992806401594,62.65328157207281,15.960855918610685
