crank_angle_deg_atdc,time_s,core_mean,wall_shell_mean,delta_c,tracer_min,tracer_max,core_volume_mm3,wall_shell_volume_mm3,wall_shell_volume_fraction,wall_shell_mass_fraction,total_volume_mm3,python_volume_mm3,volume_error_percent,mass_mg,tracer_mass_mean,tracer_mass_variance,tracer_mass_rms,tracer_volume_mean,tracer_volume_variance,tracer_volume_rms,mf_zone_core_mean,mf_zone_shell_mean,mf_zone_delta_c,mf_zone_shell_mass_fraction,mf_zone_shell_volume_fraction,mf_zone_core_volume_mm3,mf_zone_shell_volume_mm3,mass_error_percent,tracer_inventory_error_percent,tracer_mass_rms_normalized,tracer_volume_rms_normalized,mf_zone_delta_c_normalized,k_mix_1_s,tau_mix_ms,k_global_mix_1_s,tau_global_mix_ms,k_mf_zone_mix_1_s,tau_mf_zone_mix_ms
-180.0,0.0,0.0,1.0,1.0,0.0,1.0,379.1611997652988,76.24384375566522,0.16741984929764053,0.16741984929763806,455.405043520964,456.06180575133493,-0.1440072863126418,1.5864894330975712,0.16741984929763806,0.13939044335879422,0.37335029577970635,0.16741984929764053,0.13939044335879586,0.3733502957797085,1.196591333169279e-15,0.8370992464881919,0.8370992464881907,0.19999999999999912,0.20000000000000262,364.32403481677,91.08100870419399,0.0,0.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan
-179.55,6.249999999999842e-05,0.0010992863897555914,0.9945338175066806,0.993434531116925,1.32240749461e-53,0.999916370023,379.15774882256477,76.24308929846895,0.16741973864836304,0.16741973942259103,455.4008381210337,456.0575944263084,-0.14400731690498159,1.5864884842242,0.16741983672787386,0.1375807895932053,0.37091884502301214,0.16741983595361026,0.13758078908642482,0.37091884433987016,0.0006667703218126266,0.834432102352119,0.8337653320303063,0.19999999999999987,0.19999999255112047,364.3206738890529,91.08016423198077,-5.980962440865767e-05,-7.507929467021057e-06,0.9934874813702333,0.9934874795404661,0.9960173008494861,104.53817078119043,9.565883853976237,102.87637435951804,9.720404769566812,63.508689915082215,15.745876687695889
-179.1,0.0001250000000000008,0.0021738855112439447,0.989191620284968,0.987017734773724,8.72670551311e-51,0.99971080353,379.14739594557926,76.24082591652962,0.1674194066872798,0.16741942130342116,455.38822186210894,456.0449603913672,-0.14400740854469962,1.5864884842245977,0.16741982367346392,0.13585115622180144,0.36857991836479836,0.16741980905688364,0.1358511468076996,0.3685799055940239,0.0013237897241494508,0.8318039594707217,0.8304801697465722,0.2000000000000001,0.19999997597079264,364.3105884323051,91.07763342980375,-5.980959933982177e-05,-1.530533819682489e-05,0.9872227838873262,0.9872227496814431,0.9920928411184374,102.84851778194573,9.723037546541505,99.63230810420077,10.036904885854362,62.83346391419368,15.915086288504085
-178.65,0.00018749999999999922,0.003224642057881819,0.9839692604945552,0.9807446184366734,1.29212396607e-48,0.999388912614,379.13014098708084,76.23705357743164,0.1674188533724755,0.1674188819968476,455.36719456451254,456.0239034669817,-0.14400756133098325,1.586488484224441,0.16741981015330043,0.1341962429457315,0.36632805372470656,0.16741978152777567,0.1341962247906182,0.3663280289448491,0.0019713229365562247,0.8292137590202786,0.8272424360837224,0.1999999999999999,0.19999995895751893,364.29377434100957,91.07342022350304,-5.980960920970446e-05,-2.3380941860384752e-05,0.9811912776436014,0.9811912112719932,0.9882250396881616,101.201812548649,9.881245946255037,96.55477454080447,10.35681564951918,62.17425195392141,16.083828410852778
-178.2,0.0002500000000000016,0.004252355827791006,0.9788627360128949,0.9746103801851038,1.05033589461e-46,0.998956100749,379.10598370211665,76.23177222765746,0.16741807863482888,0.1674181217269376,455.3377559297742,455.99442335411464,-0.14400777525090946,1.5864884842243407,0.16741979618997194,0.13261114887562023,0.36415813718166484,0.1674197530959412,0.13261112194924785,0.36415810021094935,0.002609621144143437,0.8266604963732862,0.8240508752291428,0.19999999999999996,0.19999994141584393,364.2702314193975,91.06752451037667,-5.98096155379757e-05,-3.172124831696266e-05,0.97537926525853,0.9753791662343213,0.9844123963630494,99.59708431294696,10.04045456649986,93.63581994819843,10.679673660712576,61.53040547127697,16.252127583765237
-177.75,0.0003125,0.0052577975308269265,0.9738681929646403,0.9686103954338134,1.1452620301e-44,0.998417570761,379.0749237480247,76.2249817923493,0.1674170823775627,0.16741714028579263,455.299905540374,455.9565196344891,-0.14400805029423092,1.5864884842241418,0.16741978180571354,0.13109133227646846,0.3620653701701786,0.16741972389493315,0.1310912966128645,0.3620653209199474,0.003238927529785655,0.8241431989094243,0.8209042713796387,0.20000000000000007,0.199999923462939,364.23995927961585,91.05994626075815,-5.980962807239365e-05,-4.03129765125243e-05,0.9697738940156448,0.9697737621013707,0.9806534587428034,98.03351059051204,10.200593592705461,90.86802551886792,11.004971157784858,60.9015651286329,16.41993925587718
-177.3,0.00037499999999999844,0.006241711503544098,0.9689819103223809,0.9627401988188368,3.53886782354e-42,0.997778332511,379.03696068432646,76.21668217514582,0.1674158644759541,0.16741593734038218,455.2536428594722,455.9101917709655,-0.1440083865953845,1.586488484223722,0.16741976702174283,0.1296325807291955,0.36004524816916483,0.16741969415455166,0.12963253648230152,0.36004518672286334,0.0038594781393874503,0.8216609225511639,0.8178014444117764,0.20000000000000004,0.199999905456046,364.20295732905726,91.050685530415,-5.980965454011056e-05,-4.914345317352797e-05,0.9643630987816544,0.964362934200819,0.9769468170502211,96.64717553613293,10.34691385912396,88.45750132599586,11.304863748238391,60.34292774515939,16.571950307469432
-176.9202247884,0.00042774655716666784,0.007056241402867159,0.964937868783538,0.9578816273806708,6.41488703643e-40,0.997165637846,378.99955028861257,76.20850338421698,0.16741466406257852,0.1674147487617889,455.2080536728295,455.8645383504649,-0.14400871803076365,1.5864884842173974,0.16741975696552033,0.12844559484457788,0.35839307309792956,0.16741967226251822,0.12844554400560668,0.3583930021716477,0.004376707102796109,0.8195919564164166,0.8152152493136204,0.2000000000000001,0.1999998904499901,364.16649280631043,91.04156086651912,-5.981005318789201e-05,-5.51500423107143e-05,0.9599378309034413,0.9599376409309551,0.9738573445545695,95.5511493830843,10.465598859421288,86.54880800321347,11.554174148335711,59.90090365456032,16.694238967860194
-176.6695707967,0.00046255961156944637,0.007586521493137478,0.9623056306856836,0.9547191091925462,6.77425914164e-39,0.996727676489,378.9721654074316,76.20251640614332,0.16741378519237027,0.1674138780747314,455.17468181357486,455.83111947112866,-0.14400896066846247,1.5864884842140474,0.1674197542470227,0.12768263701716465,0.35732707288584314,0.16741966135854938,0.12768258169004362,0.35732699546779784,0.004715076940449458,0.8182384634733161,0.8135233865328666,0.2000000000000001,0.19999988165927376,364.13979931656235,91.03488249701259,-5.981026434120906e-05,-5.677380295887602e-05,0.9570826029201337,0.9570823955597854,0.9718362427702213,94.56486190954645,10.574752395414313,84.8684568815652,11.782940762025522,59.50244457077327,16.80603220949321
-176.4071058413,0.000499013077597223,0.008135109287301252,0.9595829806029798,0.9514478713156785,3.79867698792e-38,0.99623896449,378.9411941418129,76.1957453602658,0.16741279106816553,0.16741288916206049,455.1369395020788,455.79332398168,-0.14400923512156716,1.5864884842148606,0.1674197510827458,0.12690120483309464,0.3562319536946323,0.16741965298012393,0.1269011468575457,0.35623187232130943,0.005066626660586015,0.8168322487713846,0.8117656221107986,0.19999999999999996,0.1999998753008954,364.10960835683187,91.02733114524693,-5.9810213093314246e-05,-5.866382790653546e-05,0.9541493812149685,0.9541491632606081,0.9697364147875273,93.67248281333903,10.675493698535758,83.43694981843878,11.98509775556308,59.14055622119876,16.908870391069353
-176.1121922693,0.0005399732959305542,0.008743431560239863,0.956564405815632,0.9478209742553921,1.73961573778e-37,0.995653813596,378.903591333235,76.18752450333663,0.16741158386114582,0.16741168831397954,455.0911158365716,455.7474357520785,-0.14400956846281066,1.586488484215353,0.16741974654103253,0.12604379972647922,0.35502647750059324,0.1674196420771494,0.12604373852383083,0.3550263913060983,0.0054582755588209585,0.8152656304698785,0.8098073549110576,0.2000000000000001,0.19999986760561184,364.07295292076714,91.01816291580448,-5.981018205147848e-05,-6.13765965939983e-05,0.9509205738250573,0.9509203429574299,0.9673970658895843,92.69631409130547,10.787915461395848,81.9062239600264,12.209084385187152,58.74363166061177,17.023121855615724
-175.7733399582,0.000587036116916665,0.009432022655420109,0.953148225286163,0.943716202630743,7.58827905189e-37,0.994935916592,378.85672443953416,76.17727829983521,0.16741007889792228,0.16741019187183173,455.0340027393694,455.6902421840448,-0.14400998395975861,1.5864884842166962,0.16741973958179066,0.12508451132820278,0.3536728874655262,0.1674196265950803,0.12508444577319586,0.3536727947880581,0.005903942869057313,0.813482926432724,0.8075789835636668,0.20000000000000015,0.19999985731197703,364.0272671193978,91.00673561997164,-5.981009738587062e-05,-6.553335692993656e-05,0.9472950509572097,0.9472948027252643,0.9647350501767052,91.61119426300172,10.915696581022107,80.23837713265974,12.46286422701047,58.30125957433915,17.152288086073227
