crank_angle_deg_atdc,time_s,core_mean,wall_shell_mean,delta_c,core_volume_mm3,wall_shell_volume_mm3,total_volume_mm3,python_volume_mm3,volume_error_percent,k_mix_1_s,tau_mix_ms
-180.0,0.0,0.0,1.0,1.0,356.754457551243,98.66567437333055,455.4201319245735,456.06180575133493,-0.14069887429059014,nan,nan
-179.55,6.249999999999842e-05,0.0023890343292544405,0.9913615896301944,0.98897255530094,356.7511632411741,98.66476328363714,455.4159265248112,456.0575944263084,-0.14069887429555283,170.6194501705098,5.860996498351406
-179.1,0.0001250000000000008,0.004571541793458067,0.9834699319383639,0.9788983901449058,356.7412802643748,98.66203000145393,455.4033102658287,456.0449603913672,-0.14069887429254413,157.81859715048554,6.336388854391254
-178.65,0.00018749999999999922,0.006574290718034663,0.9762282420528618,0.9696539513348272,356.7248084800395,98.65747448815694,455.3822829681964,456.0239034669817,-0.14069887431498174,149.60913782242488,6.684083703409393
-178.4435518296,0.00021617335699999847,0.0074446547540063975,0.9730811653541556,0.9656365106001492,356.71504682796643,98.65477476011353,455.3698215880799,456.0114245291585,-0.14069887431900074,143.39999768536228,6.973500809910237
-178.3060331391,0.00023527317512499874,0.008008508154534489,0.9710423790442152,0.9630338708896807,356.7077748441444,98.6527635863356,455.36053843048006,456.0021282918202,-0.1406988743108628,139.4605782640346,7.17048511090169
-178.1435872657,0.0002578351019861103,0.008656630366067964,0.9686988951702142,0.9600422648041462,356.69839191506077,98.65016859988815,455.3485605149489,455.9901334996596,-0.14069887429070116,135.66693614841878,7.370992729621359
-177.9392093521,0.0002862209233194453,0.009445626514731785,0.9658460310315159,0.9564004045167841,356.685367190723,98.64656642144536,455.3319336121684,455.9734831702181,-0.14069887432690553,131.20986348718017,7.621378251778341
-177.6783617489,0.0003224497570972239,0.010412527034570865,0.9623498822242332,0.9519373551896624,356.6667692392155,98.64142288533917,455.3081921245547,455.94970823146184,-0.1406988743112736,126.44429112965922,7.908621188556266
-177.392109762,0.0003622069775000014,0.011426869028498316,0.9586821792193804,0.947255310190882,356.6438117839797,98.6350736646102,455.27888544858985,455.92036026312394,-0.14069887428671546,122.13768152352527,8.18748143509984
-177.16284861,0.000394048804166667,0.012208158553784139,0.9558571705164408,0.9436490119626567,356.62350186112667,98.62945665778459,455.25295851891127,455.89439680346624,-0.1406988743560933,118.35666753220393,8.449038156028749
-176.9772938988,0.0004198202918333315,0.012821481256627035,0.9536395059821208,0.9408180247254937,356.60581130291627,98.62456407450394,455.23037537742016,455.87178184262035,-0.14069887427724526,115.17073910016458,8.682760984370299
-176.7926226285,0.0004454690793750002,0.013415285348704967,0.9514924179514248,0.9380771326027199,356.5870923576525,98.61938707591297,455.2064794335655,455.8478522301914,-0.1406988743037907,112.26101109902368,8.907812162122037
-176.5913267438,0.00047342684113888743,0.014044399266598758,0.9492176532197374,0.9351732539531387,356.56542389204196,98.6133943441088,455.1788182361507,455.8201520588072,-0.14069887427305972,109.37300030399695,9.143024304175148
-176.3737755228,0.0005036422884999996,0.014704250808538164,0.9468317416940085,0.9321274908854703,356.54052265096317,98.60650754085705,455.1470301918202,455.78831922607276,-0.14069887428037609,106.4589023933238,9.393296168932807
-176.1446431555,0.000535466228402777,0.01537809876126724,0.9443952172132583,0.929017118451991,356.51263000479616,98.59879342074449,455.11142342554064,455.7526622909074,-0.1406988742848947,103.5154534978261,9.660393363595714
-175.900557744,0.0005693669800000005,0.016073497983460045,0.9418807639515236,0.9258072659680636,356.481037057725,98.59005592819385,455.0710929859188,455.71227502688566,-0.14069887429057903,100.61615724993148,9.938761599849125
-175.6456397794,0.0006047722528611111,0.016776711068404226,0.9393380442516894,0.9225613331832851,356.44597140173886,98.58035800704906,455.0263294087879,455.66744837920805,-0.14069887429979389,97.93924917573871,10.210411131553965
-175.409473594,0.0006375731119444458,0.017408859554962252,0.9370522901971728,0.9196434306422105,356.41159719096123,98.57085131519453,454.9824485061557,455.6235056498705,-0.1406988743481108,95.71659331329803,10.447509312484783
-175.2320028836,0.0006622218217222237,0.0178727464246859,0.9353749508061434,0.9175022043814575,356.38457107127323,98.5633768456143,454.94794791688753,455.5889564500835,-0.1406988743078097,93.72326792132121,10.669709050686109
-175.0586973936,0.0006862920286666667,0.01831652025284616,0.9337703429823127,0.9154538227294665,356.35718950354914,98.55580407177811,454.9129935753272,455.5539528587583,-0.14069887428455052,91.96879491986859,10.873253268908103
-174.8724487261,0.0007121598991527773,0.018783567168049485,0.93208157984941,0.9132980126813605,356.32667261618,98.54736417926371,454.8740367954437,455.5149411899539,-0.14069887429728478,90.20798843427283,11.085492730265436
-174.6674978632,0.0007406252967777781,0.019286210284141472,0.9302641018225728,0.9109778915384313,356.2917858460414,98.53771573163102,454.82950157767243,455.47034322330626,-0.14069887428864725,88.37369621202335,11.315584193749597
-174.4407954096,0.0007721117486666647,0.019829097788465,0.9283011012906094,0.9084720035021444,356.25160298638986,98.52660257297778,454.7782055593676,455.41897493042063,-0.14069887429500882,86.46691470655125,11.565117171044777
-174.192739628,0.0008065639405555557,0.020408248788202323,0.9262069683608817,0.9057987195726793,356.2057173564062,98.51391222935776,454.7196295857639,455.36031642501433,-0.14069887430692152,84.54420047323316,11.828132437264005
-173.9337042903,0.0008425410707916667,0.020997527588138536,0.9240762067303337,0.9030786791421952,356.15566131537526,98.50006849748017,454.65572981285544,455.2963266191437,-0.1406988743013038,82.77319746717713,12.081205397393763
-173.7011479854,0.0008748405575833316,0.0215141400781891,0.9222081998376589,0.9006940597594698,356.1088599017713,98.4871248804992,454.5959847822704,455.23649740947326,-0.1406988742879034,81.19522536489082,12.315995127866282
-173.5011475898,0.0009026183903055538,0.021949565896779034,0.9206337617606232,0.8986841958638442,356.06720097889973,98.47560349478137,454.5428044736811,455.18324217147523,-0.14069887431243933,79.80052269357672,12.531246240577465
-173.3096414313,0.0009292164678749989,0.022359020102902846,0.9191532320031651,0.8967942119002623,356.02608985616,98.46423361121548,454.49032346737545,455.13068722081834,-0.1406988742844728,78.52858112882157,12.734217091730693
-173.1122262194,0.0009566352473055576,0.02277368764579975,0.9176538583410757,0.8948801706952759,355.98245923554634,98.45216692359996,454.4346261591463,455.0749114368587,-0.1406988743217652,77.28768793104683,12.938671433568596
