deg,P_bar,T_K,pistonVelocity_m_s
-180.0,3.081632653061225,300.0,-3.7030660854144457e-17
-179.0,3.134821056650748,305.1640275801856,-0.005277558535064874
-178.0,3.1873464255642507,310.2347416934793,-0.010555487165571855
-177.0,3.2392422981597107,315.21403036394304,-0.01583415434614915
-176.0,3.290541658216792,320.103756596547,-0.021113925248780634
-175.0,3.3412769686604076,324.90575866114307,-0.02639516011894855
-174.0,3.391480204521483,329.6218503820779,-0.03167821262876652
-173.0,3.4411828851925192,334.2538214333052,-0.03696342822614284
-172.0,3.490416106033864,338.8034376388501,-0.04225114247906358
-171.0,3.5392105693849873,343.27244127847337,-0.04754167941412948
-170.0,3.587596615033641,347.66255139837466,-0.05283534984854698
-169.0,3.635604250194484,351.97546412677235,-0.058132449714846435
-168.0,3.683263179047525,356.2128529941926,-0.06343325837767917
-167.0,3.730602831885738,360.37636925829685,-0.06873803694214517
-166.0,3.777652393920186,364.46764223307457,-0.07404702655319986
-165.0,3.824440833790275,368.4882796222276,-0.0793604466858108
-164.0,3.8709969318259136,372.43986785656904,-0.08467849342565148
-163.0,3.917349308107915,376.3239724352615,-0.09000133774026492
-162.0,3.9635264503723993,380.142138270718,-0.09532912374076591
-161.0,4.009556741804585,383.8958900369888,-0.10066196693431462
-160.0,4.055468488767217,387.5867325214605,-0.10599995246775908
-159.0,4.101289948508566,391.21615097969215,-0.11134313336301753
-158.0,4.147049356895073,394.7856114932176,-0.11669152874496584
-157.0,4.192774956213641,398.29656133014254,-0.12204512206278317
-156.0,4.238495023088907,401.75042930836946,-0.12740385930592465
-155.0,4.284237896560983,405.1486261612838,-0.132767647216096
-154.0,4.33003200636972,408.4925449057407,-0.1381363514968377
-153.0,4.3759059014919774,411.7835612121913,-0.1435097950225516
-152.0,4.421888278979056,415.0230337767923,-0.14888775604904675
-151.0,4.46800801314225,418.21230469534737,-0.1542699664279288
-150.0,4.514294185135353,421.3526998389297,-0.15965610982740577
-149.0,4.560776112983933,424.44552923104095,-0.16504581996234874
-148.0,4.607483382112399,427.4920874261643,-0.17043867883670127
-147.0,4.654445876421116,430.49365388957455,-0.1758342150016057
-146.0,4.701693809967281,433.4514933782709,-0.18123190183287521
-145.0,4.749257759304736,436.3668563229022,-0.1866311558317185
-144.0,4.7971686965397735,439.2409792105603,-0.19203133495288613
-143.0,4.845458023161642,442.07508496831866,-0.19743173696467806
-142.0,4.894157604708586,444.8703833473984,-0.20283159784551885
-141.0,4.943299806332429,447.6280713078491,-0.2082300902220574
-140.0,4.9929175293270305,450.34933340363455,-0.21362632185401048
-139.0,5.043044248688398,453.0353421680165,-0.2190193341712006
-138.0,5.09371405177708,455.68725849913505,-0.2244081008684814
-137.0,5.144961678156246,458.30623204568786,-0.2297915265644517
-136.0,5.1968225606819916,460.89340159261116,-0.23516844553007127
-135.0,5.249332867925671,463.44989544667135,-0.24053762049347108
